model,hyperparameters,test_accuracy,cv_score
K-Nearest Neighbors,k=31,0.6811594202898551,0.7165322580645161
Support Vector Machine,"kernel=linear, C=0.0100",0.7101449275362319,0.8358870967741936
Decision Tree,"max_depth=10, min_samples_split=5",0.6376811594202898,0.7548387096774194
Logistic Regression,C=1000.0000,0.782608695652174,0.8300403225806452
