cnv_feature,f_score,p_value
cnv_depth__IBNLCO_03863__IBNLCO_03863__gene__promoter,37.33906945352492,4.488545538422764e-09
cnv_depth__IBNLCO_01268__IBNLCO_01268__gene__promoter,37.335227689231274,4.496104405907478e-09
cnv_depth__IBNLCO_00212__IBNLCO_00212__gene__promoter,37.33438422403952,4.497765687831519e-09
cnv_depth__IBNLCO_03635__hypothetical__CDS__promoter,37.32626616571819,4.513786691215927e-09
cnv_depth__IBNLCO_03066__Energy-dependent__CDS,37.30923217442363,4.547590979113591e-09
cnv_depth__IBNLCO_00100__Histone__CDS,37.2990935112723,4.567832668053864e-09
cnv_depth__IBNLCO_05598__IBNLCO_05598__gene,37.29108119425256,4.583893516318089e-09
cnv_depth__IBNLCO_01562__IBNLCO_01562__gene,37.274926164263306,4.616450307780459e-09
cnv_depth__IBNLCO_04649__Phosphopantetheine__CDS__promoter,37.265163061479065,4.636238780734611e-09
cnv_depth__IBNLCO_04296__IBNLCO_04296__gene__promoter,37.23006719760143,4.708083774025226e-09
cnv_depth__IBNLCO_05830__IBNLCO_05830__gene__promoter,37.19488647112422,4.7812316377041944e-09
cnv_depth__IBNLCO_03071__hypothetical__CDS__promoter,37.184991975071284,4.802010437242084e-09
cnv_depth__IBNLCO_02137__Ribosomal__CDS__promoter,37.17047992817998,4.832651423867201e-09
cnv_depth__IBNLCO_05074__hypothetical__CDS__promoter,37.15134409719968,4.873357355544104e-09
cnv_depth__IBNLCO_03629__IBNLCO_03629__gene,37.149794855636614,4.876668037860673e-09
cnv_depth__IBNLCO_02897__Betaproteobacteria_toxic_sRNA__gene,37.14143863768712,4.89456424591526e-09
cnv_depth__IBNLCO_03048__IBNLCO_03048__gene,37.1259542566961,4.927902178169882e-09
cnv_depth__IBNLCO_01491__IBNLCO_01491__gene,37.12108885276547,4.9384247097612216e-09
cnv_depth__IBNLCO_01276__gntR__gene__promoter,37.114282731428794,4.9531825820324344e-09
cnv_depth__IBNLCO_00340__IBNLCO_00340__gene,37.107316528106914,4.968333709890138e-09
cnv_depth__IBNLCO_01246__hypothetical__CDS,37.082177354079235,5.023400564389318e-09
cnv_depth__IBNLCO_03417__IBNLCO_03417__gene__promoter,37.069953601197675,5.050398868417821e-09
cnv_depth__IBNLCO_00291__IBNLCO_00291__gene,37.066122882934785,5.058889817137333e-09
cnv_depth__IBNLCO_05844__IBNLCO_05844__gene__promoter,37.048375879911745,5.098415387412911e-09
cnv_depth__IBNLCO_01380__Ricin-type__CDS,37.014179221582225,5.175459222030973e-09
cnv_depth__IBNLCO_02262__IBNLCO_02262__gene__promoter,37.00108599923351,5.205268258976242e-09
cnv_depth__IBNLCO_01985__Thymidylate__CDS,36.991957257870226,5.226154034557591e-09
cnv_depth__IBNLCO_02934__IBNLCO_02934__gene,36.94078836946737,5.34480146218746e-09
cnv_depth__IBNLCO_01206__C-type__CDS,36.939123248836424,5.348707842180639e-09
cnv_depth__IBNLCO_01546__hypothetical__CDS,36.93114946407137,5.367454395298832e-09
cnv_depth__IBNLCO_02778__gmhA__gene,36.919361150995364,5.395290686100544e-09
cnv_depth__IBNLCO_04577__Uncharacterized__CDS,36.89126408029848,5.462227209361106e-09
cnv_depth__IBNLCO_00045__araC__gene,36.88985497598604,5.465606172300134e-09
cnv_depth__IBNLCO_00431__IBNLCO_00431__gene__promoter,36.86870687610354,5.516572729021706e-09
cnv_depth__IBNLCO_00120__esaS__gene__promoter,36.865048819251896,5.5254371744734654e-09
cnv_depth__IBNLCO_04771__argP__gene,36.79168594567666,5.706285489592408e-09
cnv_depth__IBNLCO_02061__2-hydroxy-3-oxopropionate__CDS__promoter,36.780471234934836,5.734453377578094e-09
cnv_depth__IBNLCO_05580__hypothetical__CDS,36.75755071246619,5.792460417814743e-09
cnv_depth__IBNLCO_05685__IBNLCO_05685__gene,36.73631421853922,5.8467345842176255e-09
cnv_depth__IBNLCO_04193__hypothetical__CDS__promoter,36.6587934924471,6.049253120131536e-09
cnv_depth__IBNLCO_04578__IBNLCO_04578__gene,36.65730735750928,6.053204042469422e-09
cnv_depth__IBNLCO_01955__hypothetical__CDS__promoter,36.655289059502486,6.058573907223174e-09
cnv_depth__IBNLCO_03465__Fumarate/nitrate__CDS__promoter,36.63204015546807,6.1207778799809795e-09
cnv_depth__IBNLCO_05619__H-NS__CDS,36.61191139374922,6.1751547191983595e-09
cnv_depth__IBNLCO_01891__IBNLCO_01891__gene,36.60098622491908,6.204872610335771e-09
cnv_depth__IBNLCO_02190__hypothetical__CDS,36.5866290608714,6.2441458271991714e-09
cnv_depth__IBNLCO_05042__gnl|Bakta|IBNLCO_05042__CDS,36.57842245988332,6.266707240554589e-09
cnv_depth__IBNLCO_03235__trnY__gene__promoter,36.57470536174465,6.276953293283237e-09
cnv_depth__IBNLCO_05248__trnI__gene__promoter,36.56924322711012,6.2920401986429306e-09
cnv_depth__IBNLCO_05612__cysteine__CDS__promoter,36.53015071028263,6.401092152117617e-09
cnv_depth__IBNLCO_01327__Membrane__CDS,36.524614156396424,6.416690486207719e-09
cnv_depth__IBNLCO_01220__ncS54__gene__promoter,36.48740795417008,6.52251387725411e-09
cnv_depth__IBNLCO_04677__IBNLCO_04677__gene,36.47901134827002,6.546638717161623e-09
cnv_depth__IBNLCO_05050__bspI3__gene,36.47432943298399,6.560129767189802e-09
cnv_depth__IBNLCO_02333__MIP18__CDS,36.4678058058292,6.578974607224341e-09
cnv_depth__IBNLCO_03444__D-malate__CDS,36.464185861272675,6.58945514951758e-09
cnv_depth__IBNLCO_04535__ywtG__gene,36.463459629563424,6.5915597821994776e-09
cnv_depth__IBNLCO_04503__Transporter__CDS,36.454098515865006,6.618749341230709e-09
cnv_depth__IBNLCO_00515__IBNLCO_00515__gene,36.40010826746603,6.777791710794791e-09
cnv_depth__IBNLCO_03120__IBNLCO_03120__gene,36.3905073376584,6.8064755525243675e-09
cnv_depth__IBNLCO_02994__Large__CDS,36.35523320088923,6.912918202335478e-09
cnv_depth__IBNLCO_03388__IBNLCO_03388__gene__promoter,36.33715494775777,6.968121154385828e-09
cnv_depth__IBNLCO_00883__Integral__CDS__promoter,36.33215301548508,6.9834733530743465e-09
cnv_depth__IBNLCO_00406__VanZ__CDS__promoter,36.3144797917631,7.037991192033187e-09
cnv_depth__IBNLCO_01179__IBNLCO_01179__gene,36.3055666187738,7.065649214803019e-09
cnv_depth__IBNLCO_00012__Type__CDS,36.29741415086097,7.091042888123765e-09
cnv_depth__IBNLCO_03165__ugpE__gene,36.292514331859685,7.106349411279975e-09
cnv_depth__IBNLCO_00539__Lipopolysaccharide__CDS__promoter,36.290266048719005,7.113383982617529e-09
cnv_depth__IBNLCO_01128__IBNLCO_01128__gene__promoter,36.282311184642246,7.138330205406215e-09
cnv_depth__IBNLCO_03186__IBNLCO_03186__gene,36.280764351991394,7.143191283779071e-09
cnv_depth__IBNLCO_00219__Acyl-CoA__CDS,36.28049538174978,7.144036891330129e-09
cnv_depth__IBNLCO_00461__Heme__CDS,36.23334177067806,7.293855942101061e-09
cnv_depth__IBNLCO_02463__IBNLCO_02463__gene__promoter,36.22787056747675,7.311443655172391e-09
cnv_depth__IBNLCO_04925__Enoyl-CoA__CDS__promoter,36.22663604498578,7.315418069117452e-09
cnv_depth__IBNLCO_00242__L-2-hydroxyglutarate__CDS__promoter,36.22341244022676,7.3258064174162556e-09
cnv_depth__IBNLCO_04861__IBNLCO_04861__gene,36.1724682658756,7.491971884465132e-09
cnv_depth__IBNLCO_01709__Putative__CDS,36.163126284124964,7.522853507941642e-09
cnv_depth__IBNLCO_00279__IBNLCO_00279__gene,36.1508814231599,7.56352600047958e-09
cnv_depth__IBNLCO_01449__gnl|Bakta|IBNLCO_01449__CDS__promoter,36.14822726515416,7.572371303246185e-09
cnv_depth__IBNLCO_04107__IBNLCO_04107__gene__promoter,36.14654088176386,7.577996809544191e-09
cnv_depth__IBNLCO_05293__IBNLCO_05293__gene,36.13393406191279,7.620185151367548e-09
cnv_depth__IBNLCO_04627__Major__CDS,36.12636988642111,7.645612272221063e-09
cnv_depth__IBNLCO_04330__IBNLCO_04330__gene,36.12525100090766,7.649380698991738e-09
cnv_depth__IBNLCO_01850__hypothetical__CDS__promoter,36.11722063351876,7.676482252134344e-09
cnv_depth__IBNLCO_04310__IBNLCO_04310__gene__promoter,36.106624519758,7.712391434480639e-09
cnv_depth__IBNLCO_04692__IBNLCO_04692__gene,36.046789934493326,7.918374022939653e-09
cnv_depth__IBNLCO_02392__IBNLCO_02392__gene,36.03136488113396,7.972370755458881e-09
cnv_depth__IBNLCO_00673__3-phosphoshikimate__CDS__promoter,36.02476491988823,7.995588000866752e-09
cnv_depth__IBNLCO_05209__IBNLCO_05209__gene__promoter,36.018085881983325,8.019152975727157e-09
cnv_depth__IBNLCO_01234__RecBCD__CDS__promoter,36.00580359813043,8.062670658692185e-09
cnv_depth__IBNLCO_01864__IBNLCO_01864__gene,35.99452676530411,8.102836002909494e-09
cnv_depth__IBNLCO_01544__IBNLCO_01544__gene__promoter,35.99156942519395,8.113402754082029e-09
cnv_depth__IBNLCO_04680__IBNLCO_04680__gene,35.98573107234972,8.134304429788914e-09
cnv_depth__IBNLCO_05806__dsbD__gene__promoter,35.97970543335964,8.155933659721768e-09
cnv_depth__IBNLCO_05759__IBNLCO_05759__gene,35.968900458572655,8.194864113696289e-09
cnv_depth__IBNLCO_02062__Dodecin__CDS,35.94343881996421,8.287346936578411e-09
cnv_depth__IBNLCO_03039__paaD__gene,35.93078055697901,8.33371657401028e-09
cnv_depth__IBNLCO_05323__IBNLCO_05323__gene,35.9237413024256,8.359616048814583e-09
cnv_depth__IBNLCO_02865__hypothetical__CDS,35.896198029650165,8.461739942401743e-09
cnv_depth__IBNLCO_00057__DUF1700__CDS,35.83153118677742,8.706491892822023e-09
cnv_depth__IBNLCO_02221__DNA__CDS,35.82776612591288,8.720960362839563e-09
cnv_depth__IBNLCO_04942__IBNLCO_04942__gene,35.82330174554836,8.738147681973654e-09
cnv_depth__IBNLCO_00430__IBNLCO_00430__gene,35.81607296381785,8.766050219315203e-09
cnv_depth__IBNLCO_02896__IBNLCO_02896__gene,35.78521479041459,8.886176453233057e-09
cnv_depth__IBNLCO_00420__IBNLCO_00420__gene,35.778676901178336,8.911840264509494e-09
cnv_depth__IBNLCO_02151__IBNLCO_02151__gene__promoter,35.7752626975393,8.92527212385157e-09
cnv_depth__IBNLCO_02980__IBNLCO_02980__gene,35.693336123177296,9.253788222415127e-09
cnv_depth__IBNLCO_03426__IBNLCO_03426__gene__promoter,35.69097462836321,9.263436615748399e-09
cnv_depth__IBNLCO_03036__IBNLCO_03036__gene,35.68062847175859,9.30582802715761e-09
cnv_depth__IBNLCO_03040__IBNLCO_03040__gene__promoter,35.680051257292554,9.308198818674157e-09
cnv_depth__IBNLCO_00230__IBNLCO_00230__gene,35.66957351641084,9.351340264496127e-09
cnv_depth__IBNLCO_05833__IBNLCO_05833__gene,35.65998461580563,9.390999010745012e-09
cnv_depth__IBNLCO_00578__IBNLCO_00578__gene__promoter,35.639112135075315,9.477914151086835e-09
cnv_depth__IBNLCO_02993__IBNLCO_02993__gene__promoter,35.636763710819054,9.48774396439064e-09
cnv_depth__IBNLCO_03260__IBNLCO_03260__gene,35.62223533022089,9.548784907924045e-09
cnv_depth__IBNLCO_01995__IBNLCO_01995__gene,35.60988109175516,9.601003311906291e-09
cnv_depth__IBNLCO_03093__IBNLCO_03093__gene__promoter,35.59708794457633,9.655381023171091e-09
cnv_depth__IBNLCO_02685__Outer__CDS,35.587810784400915,9.69500848308472e-09
cnv_depth__IBNLCO_02905__SHSP__CDS,35.553242141930944,9.844121370766297e-09
cnv_depth__IBNLCO_02573__minD__gene,35.550817300462725,9.854667571333235e-09
cnv_depth__IBNLCO_02418__rseB__gene,35.539822986012986,9.90262782297763e-09
cnv_depth__IBNLCO_04861__IBNLCO_04861__gene__promoter,35.52476858697003,9.968682128042016e-09
cnv_depth__IBNLCO_01442__IBNLCO_01442__gene,35.50718749261299,1.0046386665729821e-08
cnv_depth__IBNLCO_00188__IBNLCO_00188__gene,35.50053538015551,1.0075946875868005e-08
cnv_depth__IBNLCO_01983__Phosphinothricin__CDS__promoter,35.49947907474925,1.008064889427798e-08
cnv_depth__IBNLCO_01561__IBNLCO_01561__gene,35.498196203180704,1.0086362426802768e-08
cnv_depth__IBNLCO_02115__IBNLCO_02115__gene,35.488028503453535,1.0131762269259369e-08
cnv_depth__IBNLCO_04778__gsiB__gene__promoter,35.48496074798421,1.0145500626021949e-08
cnv_depth__IBNLCO_04700__ftsI__gene,35.47952399131841,1.0169894360098818e-08
cnv_depth__IBNLCO_03133__hisF__gene__promoter,35.47350962632055,1.0196948770494906e-08
cnv_depth__IBNLCO_04655__Syringopeptin__CDS__promoter,35.46545068589834,1.023331434167161e-08
cnv_depth__IBNLCO_03035__IBNLCO_03035__gene,35.44294410887273,1.0335569747741529e-08
cnv_depth__IBNLCO_03572__IBNLCO_03572__gene,35.441614050140224,1.03416448902318e-08
cnv_depth__IBNLCO_03923__IBNLCO_03923__gene__promoter,35.435092502329844,1.0371484808076097e-08
cnv_depth__IBNLCO_01869__IBNLCO_01869__gene__promoter,35.43366863030519,1.0378011423174744e-08
cnv_depth__IBNLCO_02558__Guanylate__CDS,35.42377092197087,1.0423494476919924e-08
cnv_depth__IBNLCO_04776__gsiD__gene,35.413564528536334,1.0470606999124287e-08
cnv_depth__IBNLCO_00040__Transcriptional__CDS__promoter,35.40094450157212,1.0529158446222165e-08
cnv_depth__IBNLCO_05357__DUF3472__CDS__promoter,35.367561351376004,1.0685641991215055e-08
cnv_depth__IBNLCO_01297__L-Proline/Glycine__CDS,35.357051415457924,1.0735392112741613e-08
cnv_depth__IBNLCO_00437__IBNLCO_00437__gene__promoter,35.343717169902774,1.0798848473657973e-08
cnv_depth__IBNLCO_01554__hypothetical__CDS__promoter,35.30705165446481,1.0975297036111666e-08
cnv_depth__IBNLCO_02243__DNA__CDS__promoter,35.30086985879293,1.1005331945411014e-08
cnv_depth__IBNLCO_05688__IBNLCO_05688__gene__promoter,35.29829535535842,1.1017864927993982e-08
cnv_depth__IBNLCO_05025__Type__CDS,35.21954679328982,1.1408270239315275e-08
cnv_depth__IBNLCO_02064__8-oxoguanine__CDS,35.07621810062287,1.21550818343456e-08
cnv_depth__IBNLCO_04660__gabR__gene,35.063707025367826,1.2222570197106393e-08
cnv_depth__IBNLCO_04585__IBNLCO_04585__gene__promoter,35.04744921197532,1.231083562503742e-08
cnv_depth__IBNLCO_00429__IBNLCO_00429__gene,35.04688939407446,1.2313886382053354e-08
cnv_depth__IBNLCO_01499__IBNLCO_01499__gene__promoter,35.02526575491212,1.2432312054562901e-08
cnv_depth__IBNLCO_00025__lrgB__gene,35.015373673596685,1.2486870815594677e-08
cnv_depth__IBNLCO_05623__BON__CDS,35.00288403711228,1.255610186136539e-08
cnv_depth__IBNLCO_02969__IBNLCO_02969__gene__promoter,34.99830743006578,1.258156735150686e-08
cnv_depth__IBNLCO_00640__IBNLCO_00640__gene,34.97705629655879,1.2700500009481603e-08
cnv_depth__IBNLCO_01981__IBNLCO_01981__gene__promoter,34.95608184067928,1.2818998281627878e-08
cnv_depth__IBNLCO_00362__IBNLCO_00362__gene__promoter,34.94716629133597,1.2869705787154088e-08
cnv_depth__IBNLCO_03579__IBNLCO_03579__gene__promoter,34.94656193308932,1.2873150422935886e-08
cnv_depth__IBNLCO_04783__estB__gene__promoter,34.938115782189435,1.292138820923594e-08
cnv_depth__IBNLCO_00027__fliM__gene__promoter,34.93715541560637,1.2926884622062206e-08
cnv_depth__IBNLCO_05678__Pilus__CDS,34.91534017140708,1.3052376988370745e-08
cnv_depth__IBNLCO_00192__slmA__gene,34.88862493644435,1.320773489946471e-08
cnv_depth__IBNLCO_04453__IBNLCO_04453__gene,34.867471208349585,1.333207546397064e-08
cnv_depth__IBNLCO_00087__IBNLCO_00087__gene,34.8620943972218,1.3363868204668974e-08
cnv_depth__IBNLCO_00454__Cytochrome__CDS,34.825506997635365,1.3582251209665206e-08
cnv_depth__IBNLCO_00573__Dienelactone__CDS__promoter,34.82216925202841,1.3602352184919256e-08
cnv_depth__IBNLCO_01657__gnl|Bakta|IBNLCO_01657__CDS__promoter,34.777412600462476,1.387481356079575e-08
cnv_depth__IBNLCO_04318__Theronine__CDS,34.762302579583064,1.3968037493503956e-08
cnv_depth__IBNLCO_04568__IBNLCO_04568__gene__promoter,34.74091961066253,1.410104624782937e-08
cnv_depth__IBNLCO_01127__IBNLCO_01127__gene,34.74023948088461,1.4105297806444138e-08
cnv_depth__IBNLCO_05778__traR__gene,34.72796550958621,1.4182246631141522e-08
cnv_depth__IBNLCO_04607__Formate__CDS,34.671317190637865,1.4542924405979004e-08
cnv_depth__IBNLCO_00102__IBNLCO_00102__gene,34.66069509392609,1.4611579989092767e-08
cnv_depth__IBNLCO_03839__IBNLCO_03839__gene__promoter,34.65757825236649,1.4631787681435764e-08
cnv_depth__IBNLCO_00954__Cobalamin__CDS__promoter,34.60450227116038,1.4980267967018087e-08
cnv_depth__IBNLCO_04713__N-carbamoyl-L-amino-acid__CDS,34.57725423039879,1.5162416252964402e-08
cnv_depth__IBNLCO_04703__IBNLCO_04703__gene__promoter,34.56763147976002,1.522727603248609e-08
cnv_depth__IBNLCO_04969__IBNLCO_04969__gene,34.5598963683909,1.5279615864170255e-08
cnv_depth__IBNLCO_04424__N-acyltransferase__CDS,34.534618685513564,1.5451929178968935e-08
cnv_depth__IBNLCO_04106__MurR/RpiR__CDS,34.500462407465434,1.5687890278081713e-08
cnv_depth__IBNLCO_02161__tRNA-Asp(gtc)__tRNA,34.49643182364958,1.5715973815667894e-08
cnv_depth__IBNLCO_02096__IBNLCO_02096__gene__promoter,34.4925437224637,1.574311273111209e-08
cnv_depth__IBNLCO_04676__hypothetical__CDS,34.47230881760733,1.588511869926904e-08
cnv_depth__IBNLCO_01536__IBNLCO_01536__gene,34.47081331659244,1.5895665162049713e-08
cnv_depth__IBNLCO_00495__lysR__gene__promoter,34.45962605194437,1.5974783948442103e-08
cnv_depth__IBNLCO_02962__Carboxypeptidase__CDS,34.45143845504968,1.6032940531467126e-08
cnv_depth__IBNLCO_05589__Type__CDS,34.443155052827514,1.609199535569522e-08
cnv_depth__IBNLCO_02233__IBNLCO_02233__gene__promoter,34.416773205758524,1.6281548316304587e-08
cnv_depth__IBNLCO_03759__IBNLCO_03759__gene__promoter,34.41404234248934,1.630129793074495e-08
cnv_depth__IBNLCO_04915__IBNLCO_04915__gene__promoter,34.360767364800104,1.669146297755663e-08
cnv_depth__IBNLCO_05690__Type__CDS,34.35074644551111,1.676590010899828e-08
cnv_depth__IBNLCO_03833__lysR__gene,34.31137398250289,1.706162858125249e-08
cnv_depth__IBNLCO_00199__clpQ__gene__promoter,34.30251562030449,1.7128887360711122e-08
cnv_depth__IBNLCO_01649__IBNLCO_01649__gene__promoter,34.27509358681841,1.7338797688720705e-08
cnv_depth__IBNLCO_00009__Type__CDS__promoter,34.27163821927111,1.736543162917757e-08
cnv_depth__IBNLCO_01099__Phospholipase__CDS__promoter,34.26347046624692,1.7428553081903526e-08
cnv_depth__IBNLCO_01915__Murein__CDS__promoter,34.24920415244978,1.753936171764977e-08
cnv_depth__IBNLCO_04560__Transmembrane__CDS,34.23886637057158,1.762010147920348e-08
cnv_depth__IBNLCO_01881__Polyhydroxyalkanoate__CDS__promoter,34.23401880389925,1.7658091020530872e-08
cnv_depth__IBNLCO_05712__RNA__CDS__promoter,34.23154783108104,1.7677487445467226e-08
cnv_depth__IBNLCO_03621__tssF__gene__promoter,34.22307425081419,1.7744166277431586e-08
cnv_depth__IBNLCO_00022__Multidrug__CDS__promoter,34.19912879136626,1.793397099974705e-08
cnv_depth__IBNLCO_05682__SAF__CDS__promoter,34.18810490781561,1.8022040732774013e-08
cnv_depth__IBNLCO_02591__gnl|Bakta|IBNLCO_02591__CDS,34.18341200067164,1.8059664848985702e-08
cnv_depth__IBNLCO_00551__IBNLCO_00551__gene,34.17894117871276,1.8095582287530483e-08
cnv_depth__IBNLCO_00241__Lon__CDS__promoter,34.142275066664304,1.8392885518441786e-08
cnv_depth__IBNLCO_01715__IBNLCO_01715__gene,34.141614454001314,1.8398287055396146e-08
cnv_depth__IBNLCO_03119__IBNLCO_03119__gene,34.13184861704062,1.847832524838529e-08
cnv_depth__IBNLCO_04576__Glutamyl-tRNA__CDS,34.11890338364376,1.8584963566468906e-08
cnv_depth__IBNLCO_00086__Spermidine__CDS,34.106612622871744,1.8686786092846354e-08
cnv_depth__IBNLCO_04510__IBNLCO_04510__gene,34.0979718829696,1.875870742550848e-08
cnv_depth__IBNLCO_03359__IBNLCO_03359__gene,34.080736800517734,1.890300048343034e-08
cnv_depth__IBNLCO_02405__Protein-arginine__CDS,34.05866637745004,1.908941442709529e-08
cnv_depth__IBNLCO_04919__gnl|Bakta|IBNLCO_04919__CDS__promoter,34.05784922182243,1.9096351942789582e-08
cnv_depth__IBNLCO_02874__tRNA-specific__CDS,34.05520247005382,1.9118839922487214e-08
cnv_depth__IBNLCO_04171__IBNLCO_04171__gene__promoter,34.03320154060826,1.9306808467906278e-08
cnv_depth__IBNLCO_05545__gnl|Bakta|IBNLCO_05545__CDS__promoter,34.019946041464955,1.942095946973523e-08
cnv_depth__IBNLCO_02227__IBNLCO_02227__gene__promoter,34.01935537639845,1.9426061882494082e-08
cnv_depth__IBNLCO_00020__Multidrug__CDS,34.00752077823908,1.952858009092624e-08
cnv_depth__IBNLCO_04540__irlR__gene,34.00116563149116,1.9583857546590635e-08
cnv_depth__IBNLCO_05054__Taurine__CDS,33.986623361697696,1.9710942752274384e-08
cnv_depth__IBNLCO_01557__IBNLCO_01557__gene,33.95254022278652,2.001207162763794e-08
cnv_depth__IBNLCO_00016__Type__CDS__promoter,33.94905437860769,2.004313039137883e-08
cnv_depth__IBNLCO_03177__IBNLCO_03177__gene__promoter,33.94647325197003,2.006615953559721e-08
cnv_depth__IBNLCO_00638__IBNLCO_00638__gene__promoter,33.9152364324889,2.0346987688640042e-08
cnv_depth__IBNLCO_01951__IBNLCO_01951__gene,33.912400960152766,2.0372675230188657e-08
cnv_depth__IBNLCO_02523__IBNLCO_02523__gene,33.910430991854035,2.039054115827072e-08
cnv_depth__IBNLCO_05822__IBNLCO_05822__gene__promoter,33.889792236075195,2.0578671628846825e-08
cnv_depth__IBNLCO_01704__Ornithine__CDS,33.871935608125064,2.0742856828003257e-08
cnv_depth__IBNLCO_01400__hypothetical__CDS__promoter,33.86802761043164,2.0778965651465106e-08
cnv_depth__IBNLCO_03771__Polyketide__CDS__promoter,33.83064777173891,2.1127571117847483e-08
cnv_depth__IBNLCO_02848__IBNLCO_02848__gene__promoter,33.80692023354625,2.135191565823218e-08
cnv_depth__IBNLCO_03187__dsbD__gene,33.768411145308065,2.1721156570205735e-08
cnv_depth__IBNLCO_03573__IBNLCO_03573__gene,33.757358255729784,2.182832332777495e-08
cnv_depth__IBNLCO_04702__IBNLCO_04702__gene,33.7327372249343,2.2068969164390276e-08
cnv_depth__IBNLCO_04976__Type__CDS,33.7149264757316,2.224472108391877e-08
cnv_depth__IBNLCO_02954__L-arabinose__CDS,33.69460833755765,2.2446943284118466e-08
cnv_depth__IBNLCO_04394__iclR__gene__promoter,33.66917753967282,2.2702670929750207e-08
cnv_depth__IBNLCO_03028__IBNLCO_03028__gene__promoter,33.65868493772329,2.2809038862215988e-08
cnv_depth__IBNLCO_00325__IBNLCO_00325__gene,33.63625185401047,2.3038145137158057e-08
cnv_depth__IBNLCO_05211__IBNLCO_05211__gene__promoter,33.63369120103602,2.3064444220544407e-08
cnv_depth__IBNLCO_03615__tssC1__gene__promoter,33.63302331761087,2.3071308677794634e-08
cnv_depth__IBNLCO_02295__IBNLCO_02295__gene__promoter,33.63037144103609,2.3098584852781648e-08
cnv_depth__IBNLCO_05620__IBNLCO_05620__gene__promoter,33.626383297858396,2.3139666721174254e-08
cnv_depth__IBNLCO_02989__IBNLCO_02989__gene,33.60174477873893,2.339511056006189e-08
cnv_depth__IBNLCO_00838__tRNA__CDS__promoter,33.594100350181186,2.3474943250986912e-08
cnv_depth__IBNLCO_02676__IBNLCO_02676__gene__promoter,33.59253417847196,2.3491333126601867e-08
cnv_depth__IBNLCO_03414__ncS01__gene,33.58597770850408,2.3560071757516964e-08
cnv_depth__IBNLCO_05686__IBNLCO_05686__gene__promoter,33.58505619797117,2.3569749237580196e-08
cnv_depth__IBNLCO_00355__Peptidase__CDS,33.57746625924121,2.3649609896008728e-08
cnv_depth__IBNLCO_03388__hypothetical__CDS,33.55225177150003,2.39168830636395e-08
cnv_depth__IBNLCO_02244__IBNLCO_02244__gene__promoter,33.52675350914874,2.4190269100452734e-08
cnv_depth__IBNLCO_03164__ugpC__gene__promoter,33.48612988602293,2.4632365266519316e-08
cnv_depth__IBNLCO_01983__ywnH__gene,33.445115834380346,2.5086996051633607e-08
cnv_depth__IBNLCO_00929__uroporphyrinogen-III__CDS,33.41740782855916,2.539892340828009e-08
cnv_depth__IBNLCO_04521__IBNLCO_04521__gene,33.411842940205574,2.5462042179543516e-08
cnv_depth__IBNLCO_05597__IBNLCO_05597__gene__promoter,33.40768309461625,2.5509328019557907e-08
cnv_depth__IBNLCO_04322__IBNLCO_04322__gene__promoter,33.38492592225331,2.5769588870168646e-08
cnv_depth__IBNLCO_02043__IBNLCO_02043__gene,33.384057785398575,2.577957022592401e-08
cnv_depth__IBNLCO_01326__Bacteriophage__CDS,33.37775458759184,2.5852158164252268e-08
cnv_depth__IBNLCO_01433__IBNLCO_01433__gene,33.367929550199335,2.5965715937743884e-08
cnv_depth__IBNLCO_02450__Protein__CDS,33.36579509263627,2.599045257661424e-08
cnv_depth__IBNLCO_03571__IBNLCO_03571__gene,33.363849343645334,2.601302298619442e-08
cnv_depth__IBNLCO_00411__UPF0250__CDS,33.35511459760719,2.6114589103571414e-08
cnv_depth__IBNLCO_05829__3-phenylpropionate-dihydrodiol/cinnamic__CDS__promoter,33.343006164809445,2.6256047096511277e-08
cnv_depth__IBNLCO_01871__AsmA__CDS__promoter,33.29814521045311,2.6786923376297546e-08
cnv_depth__IBNLCO_02514__ssrA__gene__promoter,33.286466004945716,2.6926904082867635e-08
cnv_depth__IBNLCO_04947__IBNLCO_04947__gene,33.271437641033664,2.7108114301532367e-08
cnv_depth__IBNLCO_01916__Protein-L-isoaspartate__CDS,33.244342615309414,2.743794296385569e-08
cnv_depth__IBNLCO_00437__IBNLCO_00437__gene,33.23486727653138,2.7554241313805518e-08
cnv_depth__IBNLCO_05501__IBNLCO_05501__gene__promoter,33.20114735450068,2.797216888120995e-08
cnv_depth__IBNLCO_03379__IBNLCO_03379__gene__promoter,33.19435358212257,2.805714381479332e-08
cnv_depth__IBNLCO_03391__IBNLCO_03391__gene,33.17504204621554,2.8300115588334843e-08
cnv_depth__IBNLCO_01874__IBNLCO_01874__gene__promoter,33.172516481577524,2.8332048313274382e-08
cnv_depth__IBNLCO_00025__LrgB__CDS__promoter,33.16886230272325,2.837831547951215e-08
cnv_depth__IBNLCO_05056__Cellulose__CDS__promoter,33.16530023600999,2.8423489871188378e-08
cnv_depth__IBNLCO_03773__IBNLCO_03773__gene,33.15908946565147,2.850242922269266e-08
cnv_depth__IBNLCO_03259__IBNLCO_03259__gene,33.15577976139578,2.854458626960494e-08
cnv_depth__IBNLCO_01711__Putative__CDS,33.14645176230267,2.8663740182276677e-08
cnv_depth__IBNLCO_03261__IBNLCO_03261__gene,33.14559800113442,2.8674671027949743e-08
cnv_depth__IBNLCO_04460__IBNLCO_04460__gene,33.13490256469103,2.8811963972735305e-08
