cnv_feature,f_score,p_value
cnv_depth__IBNLCO_03354__IBNLCO_03354__gene,111.4203340822212,2.536950978692858e-21
cnv_depth__IBNLCO_01656__Putative__CDS,111.2840836564121,2.6552007572676407e-21
cnv_depth__IBNLCO_03404__Citrate__CDS,109.42364051345727,4.955618790584226e-21
cnv_depth__IBNLCO_04767__diguanylate__CDS,109.1505761269086,5.432580444130578e-21
cnv_depth__IBNLCO_00180__mreB__gene,108.72711389092439,6.265597462597059e-21
cnv_depth__IBNLCO_03368__IBNLCO_03368__gene,108.02047005490351,7.953055351015132e-21
cnv_depth__IBNLCO_05846__histidine__CDS,107.3525500840813,9.968762812588194e-21
cnv_depth__IBNLCO_03464__HTH__CDS__promoter,107.29433238340172,1.016722234975082e-20
cnv_depth__IBNLCO_00111__IBNLCO_00111__gene,106.92579186667207,1.1519497830241223e-20
cnv_depth__IBNLCO_01446__IBNLCO_01446__gene,106.55848556030828,1.3048057368999172e-20
cnv_depth__IBNLCO_01999__selO__gene,106.4846081925817,1.3379417187090774e-20
cnv_depth__IBNLCO_03394__IBNLCO_03394__gene,106.39632163998824,1.378656690841589e-20
cnv_depth__IBNLCO_03457__Cytochrome__CDS,105.85101280239279,1.6593925492722732e-20
cnv_depth__IBNLCO_03455__hypothetical__CDS,105.76838359049508,1.7067037345963394e-20
cnv_depth__IBNLCO_05674__Bactoprenol__CDS,105.5525417909683,1.836814215876171e-20
cnv_depth__IBNLCO_03842__IBNLCO_03842__gene__promoter,105.359236867095,1.961820628532158e-20
cnv_depth__IBNLCO_01732__araC__gene,105.08122681564859,2.1568196924946818e-20
cnv_depth__IBNLCO_05626__IBNLCO_05626__gene__promoter,104.88576132589634,2.3055302771152152e-20
cnv_depth__IBNLCO_04524__Lipoprotein__CDS,104.82570556271875,2.3532676411484127e-20
cnv_depth__IBNLCO_00121__esaR__gene__promoter,104.42634276263036,2.697128307358237e-20
cnv_depth__IBNLCO_00244__Proline/betaine__CDS,104.27842755510922,2.836993146450468e-20
cnv_depth__IBNLCO_00024__lrgA__gene,104.2343857757684,2.8800358082528635e-20
cnv_depth__IBNLCO_03249__IBNLCO_03249__gene,104.07551489013312,3.0408545890567315e-20
cnv_depth__IBNLCO_00055__Glucose-methanol-choline__CDS,103.94622568470541,3.1783984059063154e-20
cnv_depth__IBNLCO_00234__bcaP__gene,103.70403817811071,3.4531803762443976e-20
cnv_depth__IBNLCO_00006__IBNLCO_00006__gene,103.54479141873301,3.64680767304783e-20
cnv_depth__IBNLCO_03386__IBNLCO_03386__gene,103.1420689985939,4.186834674764441e-20
cnv_depth__IBNLCO_03322__fliC__gene,102.88174003986391,4.5781998952345753e-20
cnv_depth__IBNLCO_03439__IBNLCO_03439__gene,102.2862748642359,5.618057535900722e-20
cnv_depth__IBNLCO_01438__5-deoxy-glucuronate__CDS__promoter,102.22944906172002,5.728989613819937e-20
