feature,cluster
cnv_depth__IBNLCO_00051__Phenylacetaldehyde__CDS__promoter,8984
cnv_depth__IBNLCO_00052__IBNLCO_00052__gene,8293
cnv_depth__IBNLCO_00052__IBNLCO_00052__gene__promoter,6185
cnv_depth__IBNLCO_00053__Molybdenum__CDS,4880
cnv_depth__IBNLCO_00053__Molybdenum__CDS__promoter,7050
cnv_depth__IBNLCO_00054__IBNLCO_00054__gene,5681
cnv_depth__IBNLCO_00054__Short-chain__CDS__promoter,7625
cnv_depth__IBNLCO_00055__Glucose-methanol-choline__CDS,6201
cnv_depth__IBNLCO_00055__Glucose-methanol-choline__CDS__promoter,7064
cnv_depth__IBNLCO_00056__padR__gene__promoter,8701
cnv_depth__IBNLCO_00056__Transcription__CDS,222
cnv_depth__IBNLCO_00057__IBNLCO_00057__gene__promoter,222
cnv_depth__IBNLCO_00057__DUF1700__CDS,7519
cnv_depth__IBNLCO_00058__IBNLCO_00058__gene,6418
cnv_depth__IBNLCO_00058__IBNLCO_00058__gene__promoter,5971
cnv_depth__IBNLCO_00059__IBNLCO_00059__gene,6585
cnv_depth__IBNLCO_00059__IBNLCO_00059__gene__promoter,6680
cnv_depth__IBNLCO_00060__IBNLCO_00060__gene,5277
cnv_depth__IBNLCO_00061__mbtN__gene__promoter,9205
cnv_depth__IBNLCO_00060__IBNLCO_00060__gene__promoter,7522
cnv_depth__IBNLCO_00061__Acyl-[acyl-carrier-protein]__CDS,6101
cnv_depth__IBNLCO_00062__IBNLCO_00062__gene__promoter,6621
cnv_depth__IBNLCO_00062__Bifunctional__CDS,7308
cnv_depth__IBNLCO_00063__IBNLCO_00063__gene__promoter,6285
cnv_depth__IBNLCO_00063__enoyl-CoA__CDS,9082
cnv_depth__IBNLCO_00064__IBNLCO_00064__gene__promoter,5621
cnv_depth__IBNLCO_00064__IBNLCO_00064__gene,7805
cnv_depth__IBNLCO_00065__IBNLCO_00065__gene,4972
cnv_depth__IBNLCO_00065__gnl|Bakta|IBNLCO_00065__CDS__promoter,7053
cnv_depth__IBNLCO_00066__hypothetical__CDS,8817
cnv_depth__IBNLCO_00066__IBNLCO_00066__gene__promoter,9587
cnv_depth__IBNLCO_00067__IBNLCO_00067__gene__promoter,5983
cnv_depth__IBNLCO_00067__CHAP__CDS,402
cnv_depth__IBNLCO_00068__gnl|Bakta|IBNLCO_00068__CDS__promoter,402
cnv_depth__IBNLCO_00068__IBNLCO_00068__gene,7078
cnv_depth__IBNLCO_00069__IBNLCO_00069__gene,9117
cnv_depth__IBNLCO_00069__hypothetical__CDS__promoter,7585
cnv_depth__IBNLCO_00070__Transmembrane__CDS,6748
cnv_depth__IBNLCO_00071__RNA__CDS,5585
cnv_depth__IBNLCO_00070__Transmembrane__CDS__promoter,7029
cnv_depth__IBNLCO_00072__Catalase-related__CDS__promoter,160
cnv_depth__IBNLCO_00071__RNA__CDS__promoter,160
cnv_depth__IBNLCO_00072__IBNLCO_00072__gene,8357
cnv_depth__IBNLCO_00073__Cytochrome__CDS__promoter,5779
cnv_depth__IBNLCO_00073__IBNLCO_00073__gene,9038
cnv_depth__IBNLCO_00074__IBNLCO_00074__gene,9620
cnv_depth__IBNLCO_00074__DNA__CDS__promoter,9553
cnv_depth__IBNLCO_00075__IBNLCO_00075__gene,8905
cnv_depth__IBNLCO_00075__Beta__CDS__promoter,7306
cnv_depth__IBNLCO_00076__dnaA__gene,8298
cnv_depth__unknown__unknown__rep_origin,9400
cnv_depth__IBNLCO_00076__dnaA__gene__promoter,6798
cnv_depth__IBNLCO_00077__IBNLCO_00077__gene__promoter,7220
cnv_depth__IBNLCO_00077__IBNLCO_00077__gene,6652
cnv_depth__IBNLCO_00078__Ribonuclease__CDS__promoter,7533
cnv_depth__IBNLCO_00078__Ribonuclease__CDS,7455
cnv_depth__IBNLCO_00079__Membrane__CDS__promoter,8607
cnv_depth__IBNLCO_00079__yidC__gene,58
cnv_depth__IBNLCO_00080__IBNLCO_00080__gene,7622
cnv_depth__IBNLCO_00080__IBNLCO_00080__gene__promoter,9250
cnv_depth__IBNLCO_00081__mnmE__gene__promoter,5438
cnv_depth__IBNLCO_00081__mnmE__gene,6296
cnv_depth__IBNLCO_00082__IBNLCO_00082__gene,9056
cnv_depth__IBNLCO_00082__gnl|Bakta|IBNLCO_00082__CDS__promoter,7979
cnv_depth__IBNLCO_00083__IBNLCO_00083__gene__promoter,7158
cnv_depth__IBNLCO_00083__DUF4382__CDS,9630
cnv_depth__IBNLCO_00084__Lipoprotein-attachment__CDS__promoter,8795
cnv_depth__IBNLCO_00084__IBNLCO_00084__gene,5979
cnv_depth__IBNLCO_00085__Transmembrane__CDS,7135
cnv_depth__IBNLCO_00086__IBNLCO_00086__gene__promoter,512
cnv_depth__IBNLCO_00085__Transmembrane__CDS__promoter,512
cnv_depth__IBNLCO_00086__Spermidine__CDS,9456
cnv_depth__IBNLCO_00087__IBNLCO_00087__gene__promoter,6656
cnv_depth__IBNLCO_00087__IBNLCO_00087__gene,8457
cnv_depth__IBNLCO_00088__YaeQ__CDS__promoter,6795
cnv_depth__IBNLCO_00088__yaeQ__gene,6378
cnv_depth__IBNLCO_00089__IBNLCO_00089__gene,6005
cnv_depth__IBNLCO_00091__hypothetical__CDS__promoter,165
cnv_depth__IBNLCO_00089__Catechol__CDS__promoter,165
cnv_depth__IBNLCO_00090__Betaproteobacteria_toxic_sRNA__gene,165
cnv_depth__IBNLCO_00091__IBNLCO_00091__gene,136
cnv_depth__IBNLCO_00090__Betaproteobacteria_toxic_sRNA__gene__promoter,136
cnv_depth__IBNLCO_00092__Methylated-DNA--protein-cysteine__CDS__promoter,136
cnv_depth__IBNLCO_00092__IBNLCO_00092__gene,6708
cnv_depth__IBNLCO_00093__DNA-3-methyladenine__CDS__promoter,6663
cnv_depth__IBNLCO_00093__IBNLCO_00093__gene,5020
cnv_depth__IBNLCO_00094__Glutamate--cysteine__CDS__promoter,9191
cnv_depth__IBNLCO_00094__IBNLCO_00094__gene,8609
cnv_depth__IBNLCO_00095__IBNLCO_00095__gene,7937
cnv_depth__IBNLCO_00095__RNA__CDS__promoter,6119
cnv_depth__IBNLCO_00096__IBNLCO_00096__gene,5735
cnv_depth__IBNLCO_00096__hypothetical__CDS__promoter,7463
cnv_depth__IBNLCO_00097__IBNLCO_00097__gene,8263
cnv_depth__IBNLCO_00097__hypothetical__CDS__promoter,4963
cnv_depth__IBNLCO_00098__lysR__gene,6339
cnv_depth__IBNLCO_00099__IBNLCO_00099__gene__promoter,333
cnv_depth__IBNLCO_00098__lysR__gene__promoter,333
cnv_depth__IBNLCO_00099__Putrescine-binding__CDS,7613
cnv_depth__IBNLCO_00100__Histone__CDS__promoter,7163
cnv_depth__IBNLCO_00100__Histone__CDS,6611
