feature,cluster
cnv_depth__IBNLCO_01275__hypothetical__CDS,6781
cnv_depth__IBNLCO_01276__gntR__gene__promoter,6020
cnv_depth__IBNLCO_01277__SHSP__CDS,6769
cnv_depth__IBNLCO_01277__IBNLCO_01277__gene__promoter,5459
cnv_depth__IBNLCO_01278__IBNLCO_01278__gene__promoter,9610
cnv_depth__IBNLCO_01279__hypothetical__CDS,7825
cnv_depth__IBNLCO_01279__IBNLCO_01279__gene__promoter,6003
cnv_depth__IBNLCO_01280__IBNLCO_01280__gene__promoter,5760
cnv_depth__IBNLCO_01281__IBNLCO_01281__gene__promoter,5751
cnv_depth__IBNLCO_01281__L-gulonate__CDS,7899
cnv_depth__IBNLCO_01282__HTH-type__CDS,4651
cnv_depth__IBNLCO_01282__yofA__gene__promoter,9542
cnv_depth__IBNLCO_01283__madL__gene__promoter,3427
cnv_depth__IBNLCO_01283__Malonate__CDS,440
cnv_depth__IBNLCO_01284__IBNLCO_01284__gene__promoter,440
cnv_depth__IBNLCO_01284__hypothetical__CDS,9418
cnv_depth__IBNLCO_01285__IBNLCO_01285__gene__promoter,8317
cnv_depth__IBNLCO_01285__hypothetical__CDS,9529
cnv_depth__IBNLCO_01286__IBNLCO_01286__gene__promoter,9238
cnv_depth__IBNLCO_01286__Malonate__CDS,6772
cnv_depth__IBNLCO_01287__IBNLCO_01287__gene__promoter,8762
cnv_depth__IBNLCO_01287__Malonate__CDS,226
cnv_depth__IBNLCO_01288__IBNLCO_01288__gene__promoter,226
cnv_depth__IBNLCO_01288__Putative__CDS,7130
cnv_depth__IBNLCO_01289__IBNLCO_01289__gene__promoter,5399
cnv_depth__IBNLCO_01289__Biotin-independent__CDS,9297
cnv_depth__IBNLCO_01290__IBNLCO_01290__gene__promoter,7154
cnv_depth__IBNLCO_01290__Phosphoribosyl-dephospho-CoA__CDS,4820
cnv_depth__IBNLCO_01291__putative__CDS__promoter,7671
cnv_depth__IBNLCO_01291__putative__CDS,6536
cnv_depth__IBNLCO_01292__IBNLCO_01292__gene__promoter,7935
cnv_depth__IBNLCO_01292__hypothetical__CDS,9184
cnv_depth__IBNLCO_01293__IBNLCO_01293__gene__promoter,6279
cnv_depth__IBNLCO_01293__phospholipase__CDS,9523
cnv_depth__IBNLCO_01294__IBNLCO_01294__gene__promoter,6506
cnv_depth__IBNLCO_01294__hypothetical__CDS,4476
cnv_depth__IBNLCO_01295__IBNLCO_01295__gene__promoter,3148
cnv_depth__IBNLCO_01295__Serine__CDS,8476
cnv_depth__IBNLCO_01296__IBNLCO_01296__gene__promoter,6841
cnv_depth__IBNLCO_01296__GST__CDS,7121
cnv_depth__IBNLCO_01297__L-Proline/Glycine__CDS,8132
cnv_depth__IBNLCO_01297__proP__gene__promoter,6102
cnv_depth__IBNLCO_01298__IBNLCO_01298__gene__promoter,5905
cnv_depth__IBNLCO_01298__UPF0060__CDS,8421
cnv_depth__IBNLCO_01299__DNA__CDS,7299
cnv_depth__IBNLCO_01299__IBNLCO_01299__gene__promoter,7588
cnv_depth__IBNLCO_01300__Ribonuclease__CDS,6414
cnv_depth__IBNLCO_01301__SAM-dependent__CDS,8381
cnv_depth__IBNLCO_01300__IBNLCO_01300__gene__promoter,6559
cnv_depth__IBNLCO_01302__IBNLCO_01302__gene__promoter,8139
cnv_depth__IBNLCO_01301__IBNLCO_01301__gene__promoter,3353
cnv_depth__IBNLCO_01302__Hydroxyacylglutathione__CDS,3808
cnv_depth__IBNLCO_01303__IBNLCO_01303__gene__promoter,9332
cnv_depth__IBNLCO_01303__Soluble__CDS,5899
cnv_depth__IBNLCO_01304__IBNLCO_01304__gene__promoter,7904
cnv_depth__IBNLCO_01304__Major__CDS,8700
cnv_depth__IBNLCO_01305__AttH__CDS,7046
cnv_depth__IBNLCO_01305__attH__gene__promoter,784
cnv_depth__IBNLCO_01306__araC__gene__promoter,784
cnv_depth__IBNLCO_01306__Transcriptional__CDS,7501
cnv_depth__IBNLCO_01307__IBNLCO_01307__gene__promoter,5527
cnv_depth__IBNLCO_01308__IBNLCO_01308__gene__promoter,4919
cnv_depth__IBNLCO_01309__IBNLCO_01309__gene__promoter,7439
cnv_depth__IBNLCO_01310__greA__gene__promoter,6985
cnv_depth__IBNLCO_01310__Transcription__CDS,7414
cnv_depth__IBNLCO_01311__IBNLCO_01311__gene__promoter,5808
cnv_depth__IBNLCO_01311__TMEM205-like__CDS,7140
cnv_depth__IBNLCO_01312__CRM__CDS,8087
cnv_depth__IBNLCO_01313__IBNLCO_01313__gene__promoter,570
cnv_depth__IBNLCO_01312__IBNLCO_01312__gene__promoter,570
cnv_depth__IBNLCO_01313__Ribosomal__CDS,9515
cnv_depth__IBNLCO_01314__ftsH__gene__promoter,6849
cnv_depth__IBNLCO_01315__IBNLCO_01315__gene__promoter,7487
cnv_depth__IBNLCO_01316__IBNLCO_01316__gene__promoter,7427
cnv_depth__IBNLCO_01317__pstS__gene__promoter,7603
cnv_depth__IBNLCO_01317__Phosphate-binding__CDS,7552
cnv_depth__IBNLCO_01318__pstC__gene__promoter,5351
cnv_depth__IBNLCO_01319__pstA__gene__promoter,4209
cnv_depth__IBNLCO_01319__Phosphate__CDS,7360
cnv_depth__IBNLCO_01320__pstB__gene__promoter,9223
cnv_depth__IBNLCO_01320__Phosphate__CDS,4483
cnv_depth__IBNLCO_01321__IBNLCO_01321__gene__promoter,4135
cnv_depth__IBNLCO_01321__IBNLCO_01321__gene,9218
cnv_depth__IBNLCO_01322__phoB__gene__promoter,8392
cnv_depth__IBNLCO_01322__Phosphate__CDS,7470
cnv_depth__IBNLCO_01323__phoR__gene__promoter,8303
cnv_depth__IBNLCO_01323__Phosphate__CDS,7840
cnv_depth__IBNLCO_01324__Polyphosphate__CDS,7955
cnv_depth__IBNLCO_01324__IBNLCO_01324__gene__promoter,9496
cnv_depth__IBNLCO_01325__IBNLCO_01325__gene__promoter,5632
cnv_depth__IBNLCO_01326__Bacteriophage__CDS,5436
cnv_depth__IBNLCO_01326__IBNLCO_01326__gene__promoter,4705
cnv_depth__IBNLCO_01327__IBNLCO_01327__gene__promoter,6653
cnv_depth__IBNLCO_01328__IBNLCO_01328__gene__promoter,6807
cnv_depth__IBNLCO_01329__hypothetical__CDS,6959
cnv_depth__IBNLCO_01329__IBNLCO_01329__gene__promoter,5091
cnv_depth__IBNLCO_01330__hypothetical__CDS,8667
cnv_depth__IBNLCO_01330__IBNLCO_01330__gene__promoter,8899
cnv_depth__IBNLCO_01331__hypothetical__CDS,4
cnv_depth__IBNLCO_01332__Tlde1__CDS,4
cnv_depth__IBNLCO_01331__IBNLCO_01331__gene__promoter,4
cnv_depth__IBNLCO_01332__IBNLCO_01332__gene__promoter,8803
cnv_depth__IBNLCO_01333__tRNA-Pro(tgg)__tRNA,6120
cnv_depth__IBNLCO_01334__sixA__gene__promoter,684
cnv_depth__IBNLCO_01333__trnP__gene__promoter,684
cnv_depth__IBNLCO_01334__Phosphohistidine__CDS,3439
cnv_depth__IBNLCO_01335__IBNLCO_01335__gene__promoter,8511
cnv_depth__IBNLCO_01335__L-ornithine__CDS,6735
cnv_depth__IBNLCO_01336__hypothetical__CDS,7447
cnv_depth__IBNLCO_01337__IBNLCO_01337__gene__promoter,312
cnv_depth__IBNLCO_01336__IBNLCO_01336__gene__promoter,312
cnv_depth__IBNLCO_01337__gnl|Bakta|IBNLCO_01337__CDS,5959
cnv_depth__IBNLCO_01338__IBNLCO_01338__gene__promoter,9271
cnv_depth__IBNLCO_01339__hypothetical__CDS,9270
cnv_depth__IBNLCO_01339__IBNLCO_01339__gene__promoter,2839
cnv_depth__IBNLCO_01341__IBNLCO_01341__gene__promoter,6776
cnv_depth__IBNLCO_01340__IBNLCO_01340__gene__promoter,9536
cnv_depth__IBNLCO_01341__hypothetical__CDS,4323
cnv_depth__IBNLCO_01342__Murein__CDS,7357
cnv_depth__IBNLCO_01342__nlpD__gene__promoter,8909
cnv_depth__IBNLCO_01343__Galactose__CDS,5439
cnv_depth__IBNLCO_01343__IBNLCO_01343__gene__promoter,6243
cnv_depth__IBNLCO_01344__IBNLCO_01344__gene__promoter,5069
cnv_depth__IBNLCO_01344__Undecaprenyl-diphosphatase__CDS,7589
cnv_depth__IBNLCO_01345__trnR__gene__promoter,6293
cnv_depth__IBNLCO_01345__tRNA-Arg(tct)__tRNA,7766
cnv_depth__IBNLCO_01346__hypothetical__CDS,5606
cnv_depth__IBNLCO_01346__IBNLCO_01346__gene__promoter,7627
cnv_depth__IBNLCO_01347__Immunity__CDS,9716
cnv_depth__IBNLCO_01347__IBNLCO_01347__gene__promoter,7616
cnv_depth__IBNLCO_01348__Tox-REase-5__CDS,2902
cnv_depth__IBNLCO_01349__DUF2471__CDS,300
cnv_depth__IBNLCO_01348__IBNLCO_01348__gene__promoter,300
cnv_depth__IBNLCO_01350__DUF4123__CDS,9109
cnv_depth__IBNLCO_01349__IBNLCO_01349__gene__promoter,7922
cnv_depth__IBNLCO_01351__PAAR__CDS,8473
cnv_depth__IBNLCO_01350__IBNLCO_01350__gene__promoter,6894
cnv_depth__IBNLCO_01351__IBNLCO_01351__gene__promoter,9031
cnv_depth__IBNLCO_01352__IBNLCO_01352__gene__promoter,8301
cnv_depth__IBNLCO_01353__Transcriptional__CDS,6283
cnv_depth__IBNLCO_01353__gntR__gene__promoter,256
cnv_depth__IBNLCO_01354__IBNLCO_01354__gene__promoter,256
cnv_depth__IBNLCO_01354__gnl|Bakta|IBNLCO_01354__CDS,9152
cnv_depth__IBNLCO_01355__IBNLCO_01355__gene__promoter,5347
cnv_depth__IBNLCO_01355__Tryptophan__CDS,9281
cnv_depth__IBNLCO_01356__hypothetical__CDS,9571
cnv_depth__IBNLCO_01357__gnl|Bakta|IBNLCO_01357__CDS,9667
cnv_depth__IBNLCO_01356__IBNLCO_01356__gene__promoter,7848
cnv_depth__IBNLCO_01358__Malto-oligosyltrehalose__CDS,9691
cnv_depth__IBNLCO_01357__IBNLCO_01357__gene__promoter,7340
cnv_depth__IBNLCO_01358__IBNLCO_01358__gene__promoter,5168
cnv_depth__IBNLCO_01359__Glycogen__CDS,9472
cnv_depth__IBNLCO_01359__glgX__gene__promoter,9190
cnv_depth__IBNLCO_01360__1%2C4-alpha-glucan__CDS,4581
cnv_depth__IBNLCO_01360__glgB__gene__promoter,7210
cnv_depth__IBNLCO_01362__Alpha-1%2C4-glucan:maltose-1-phosphate__CDS,9507
cnv_depth__IBNLCO_01361__IBNLCO_01361__gene__promoter,5024
cnv_depth__IBNLCO_01362__IBNLCO_01362__gene__promoter,5276
cnv_depth__IBNLCO_01363__hypothetical__CDS__promoter,6123
cnv_depth__IBNLCO_01364__hypothetical__CDS,5559
cnv_depth__IBNLCO_01364__IBNLCO_01364__gene__promoter,9623
cnv_depth__IBNLCO_01365__hypothetical__CDS,6463
cnv_depth__IBNLCO_01366__IBNLCO_01366__gene__promoter,1063
cnv_depth__IBNLCO_01365__IBNLCO_01365__gene__promoter,1063
cnv_depth__IBNLCO_01367__HTH-type__CDS__promoter,8640
cnv_depth__IBNLCO_01367__HTH-type__CDS,2654
cnv_depth__IBNLCO_01368__Two__CDS__promoter,5215
cnv_depth__IBNLCO_01368__Two__CDS,5528
cnv_depth__IBNLCO_01369__IBNLCO_01369__gene__promoter,9419
cnv_depth__IBNLCO_01369__IBNLCO_01369__gene,238
cnv_depth__IBNLCO_01370__Fels-1__CDS__promoter,238
cnv_depth__IBNLCO_01370__IBNLCO_01370__gene,4981
cnv_depth__IBNLCO_01371__hypothetical__CDS__promoter,9290
cnv_depth__IBNLCO_01371__hypothetical__CDS,5837
cnv_depth__IBNLCO_01372__DNA-binding__CDS__promoter,4968
cnv_depth__IBNLCO_01372__IBNLCO_01372__gene,6362
cnv_depth__IBNLCO_01373__hypothetical__CDS__promoter,6063
cnv_depth__IBNLCO_01374__OmpA-like__CDS__promoter,7302
cnv_depth__IBNLCO_01374__IBNLCO_01374__gene,6375
cnv_depth__IBNLCO_01375__hypothetical__CDS__promoter,4954
cnv_depth__IBNLCO_01376__DNA-binding__CDS__promoter,6655
cnv_depth__IBNLCO_01376__IBNLCO_01376__gene,6839
cnv_depth__IBNLCO_01377__IBNLCO_01377__gene,5470
cnv_depth__IBNLCO_01377__hypothetical__CDS__promoter,8508
cnv_depth__IBNLCO_01378__IBNLCO_01378__gene,7080
cnv_depth__IBNLCO_01378__SCO__CDS__promoter,8141
cnv_depth__IBNLCO_01379__Cytochrome__CDS,9671
cnv_depth__IBNLCO_01379__Cytochrome__CDS__promoter,6701
cnv_depth__IBNLCO_01380__Ricin-type__CDS__promoter,6278
cnv_depth__IBNLCO_01381__Alpha/beta__CDS__promoter,6751
cnv_depth__IBNLCO_01381__IBNLCO_01381__gene,5873
cnv_depth__IBNLCO_01382__hypothetical__CDS,8885
cnv_depth__IBNLCO_01382__hypothetical__CDS__promoter,9469
cnv_depth__IBNLCO_01383__Type__CDS__promoter,5611
cnv_depth__IBNLCO_01383__tssF__gene,6586
cnv_depth__IBNLCO_01384__Transmembrane__CDS,3194
cnv_depth__IBNLCO_01384__IBNLCO_01384__gene__promoter,532
cnv_depth__IBNLCO_01385__IBNLCO_01385__gene,532
cnv_depth__IBNLCO_01385__PAAR__CDS__promoter,4233
cnv_depth__IBNLCO_01386__vgrG__gene__promoter,6188
cnv_depth__IBNLCO_01386__Type__CDS,7960
cnv_depth__IBNLCO_01387__DUF4123__CDS__promoter,5390
cnv_depth__IBNLCO_01387__IBNLCO_01387__gene,9134
cnv_depth__IBNLCO_01388__gnl|Bakta|IBNLCO_01388__CDS__promoter,8937
cnv_depth__IBNLCO_01388__gnl|Bakta|IBNLCO_01388__CDS,4819
cnv_depth__IBNLCO_01389__IBNLCO_01389__gene__promoter,8013
cnv_depth__IBNLCO_01389__T6SS__CDS,9675
cnv_depth__IBNLCO_01390__IBNLCO_01390__gene__promoter,9341
cnv_depth__IBNLCO_01390__IBNLCO_01390__gene,5530
cnv_depth__IBNLCO_01391__gnl|Bakta|IBNLCO_01391__CDS__promoter,8283
cnv_depth__IBNLCO_01391__IBNLCO_01391__gene,9466
cnv_depth__IBNLCO_01392__hypothetical__CDS__promoter,9378
cnv_depth__IBNLCO_01392__hypothetical__CDS,8650
cnv_depth__IBNLCO_01393__IBNLCO_01393__gene__promoter,6377
cnv_depth__IBNLCO_01393__hypothetical__CDS,2647
cnv_depth__IBNLCO_01394__vgrG1__gene__promoter,6077
cnv_depth__IBNLCO_01394__vgrG1__gene,5033
cnv_depth__IBNLCO_01395__DUF4123__CDS__promoter,8614
cnv_depth__IBNLCO_01395__IBNLCO_01395__gene,9650
cnv_depth__IBNLCO_01396__vasX__gene__promoter,9024
cnv_depth__IBNLCO_01396__vasX__gene,8278
cnv_depth__IBNLCO_01397__IBNLCO_01397__gene__promoter,7441
cnv_depth__IBNLCO_01397__hypothetical__CDS,70
cnv_depth__IBNLCO_01398__mntH__gene__promoter,5322
cnv_depth__IBNLCO_01398__mntH__gene,5408
cnv_depth__IBNLCO_01399__hypothetical__CDS__promoter,5693
cnv_depth__IBNLCO_01399__IBNLCO_01399__gene,8449
cnv_depth__IBNLCO_01400__hypothetical__CDS,9143
cnv_depth__IBNLCO_01400__hypothetical__CDS__promoter,3357
cnv_depth__IBNLCO_01401__IBNLCO_01401__gene,7250
cnv_depth__IBNLCO_01401__IBNLCO_01401__gene__promoter,6799
cnv_depth__IBNLCO_01402__IBNLCO_01402__gene,7499
cnv_depth__IBNLCO_01402__Major__CDS__promoter,6470
cnv_depth__IBNLCO_01403__lysR__gene__promoter,8037
cnv_depth__IBNLCO_01403__lysR__gene,8517
cnv_depth__IBNLCO_01404__IBNLCO_01404__gene__promoter,7575
cnv_depth__IBNLCO_01404__Spore__CDS,8198
cnv_depth__IBNLCO_01405__IBNLCO_01405__gene__promoter,5146
cnv_depth__IBNLCO_01405__IBNLCO_01405__gene,4770
cnv_depth__IBNLCO_01406__IBNLCO_01406__gene__promoter,7178
cnv_depth__IBNLCO_01406__Spore__CDS,4957
cnv_depth__IBNLCO_01407__Pili__CDS__promoter,9519
cnv_depth__IBNLCO_01407__IBNLCO_01407__gene,5350
cnv_depth__IBNLCO_01408__PapC-like__CDS__promoter,3711
cnv_depth__IBNLCO_01409__IBNLCO_01409__gene__promoter,5089
cnv_depth__IBNLCO_01410__histidine__CDS__promoter,6588
cnv_depth__IBNLCO_01411__luxR__gene__promoter,4523
cnv_depth__IBNLCO_01411__luxR__gene,5144
cnv_depth__IBNLCO_01412__IBNLCO_01412__gene,8184
cnv_depth__IBNLCO_01412__hypothetical__CDS__promoter,7846
cnv_depth__IBNLCO_01413__IBNLCO_01413__gene,9138
cnv_depth__IBNLCO_01413__IBNLCO_01413__gene__promoter,5355
cnv_depth__IBNLCO_01414__IBNLCO_01414__gene,4914
cnv_depth__IBNLCO_01414__Drug-resistance__CDS__promoter,8516
cnv_depth__IBNLCO_01415__IBNLCO_01415__gene,8469
cnv_depth__IBNLCO_01415__IBNLCO_01415__gene__promoter,7676
cnv_depth__IBNLCO_01416__IBNLCO_01416__gene,2763
cnv_depth__IBNLCO_01416__Enoyl-[acyl-carrier-protein]__CDS__promoter,6927
cnv_depth__IBNLCO_01417__IBNLCO_01417__gene,4017
cnv_depth__IBNLCO_01417__IBNLCO_01417__gene__promoter,170
cnv_depth__IBNLCO_01418__Methylamine__CDS__promoter,170
cnv_depth__IBNLCO_01419__IBNLCO_01419__gene__promoter,825
cnv_depth__IBNLCO_01420__IBNLCO_01420__gene__promoter,825
cnv_depth__IBNLCO_01421__IBNLCO_01421__gene__promoter,3637
cnv_depth__IBNLCO_01421__IBNLCO_01421__gene,8846
cnv_depth__IBNLCO_01422__Nudix__CDS__promoter,5093
cnv_depth__IBNLCO_01422__Nudix__CDS,5624
cnv_depth__IBNLCO_01424__Ornithine__CDS__promoter,7944
cnv_depth__IBNLCO_01423__Glutamine--tRNA__CDS__promoter,7534
cnv_depth__IBNLCO_01424__Ornithine__CDS,8496
cnv_depth__IBNLCO_01425__Succinate--glutarate__CDS,6254
cnv_depth__IBNLCO_01425__Succinate--glutarate__CDS__promoter,6578
cnv_depth__IBNLCO_01426__Alanine--tRNA__CDS__promoter,6295
cnv_depth__IBNLCO_01427__IBNLCO_01427__gene,9576
cnv_depth__IBNLCO_01428__Major__CDS__promoter,480
cnv_depth__IBNLCO_01427__HTH__CDS__promoter,480
cnv_depth__IBNLCO_01428__IBNLCO_01428__gene,8704
cnv_depth__IBNLCO_01429__putative__CDS__promoter,9450
cnv_depth__IBNLCO_01429__IBNLCO_01429__gene,6337
cnv_depth__IBNLCO_01430__IBNLCO_01430__gene,7382
cnv_depth__IBNLCO_01430__RiboL-PSP-HEPN__CDS__promoter,49
cnv_depth__IBNLCO_01431__ADP-ribose__CDS__promoter,49
cnv_depth__IBNLCO_01431__nudF__gene,7936
cnv_depth__IBNLCO_01432__IBNLCO_01432__gene,6556
cnv_depth__IBNLCO_01432__UPF0145__CDS__promoter,882
cnv_depth__IBNLCO_01433__putative__CDS__promoter,882
cnv_depth__IBNLCO_01433__IBNLCO_01433__gene,8657
cnv_depth__IBNLCO_01434__Acyl-CoA__CDS__promoter,5748
cnv_depth__IBNLCO_01434__IBNLCO_01434__gene,4194
cnv_depth__IBNLCO_01435__ABC__CDS__promoter,2673
cnv_depth__IBNLCO_01435__IBNLCO_01435__gene,8585
cnv_depth__IBNLCO_01436__Amino__CDS__promoter,7658
cnv_depth__IBNLCO_01436__IBNLCO_01436__gene,4741
cnv_depth__IBNLCO_01437__Branched__CDS__promoter,6545
cnv_depth__IBNLCO_01437__IBNLCO_01437__gene,8014
cnv_depth__IBNLCO_01438__IBNLCO_01438__gene,6970
cnv_depth__IBNLCO_01439__IBNLCO_01439__gene,8046
cnv_depth__IBNLCO_01438__5-deoxy-glucuronate__CDS__promoter,3766
cnv_depth__IBNLCO_01440__IBNLCO_01440__gene,9596
cnv_depth__IBNLCO_01439__Inosose__CDS__promoter,5232
cnv_depth__IBNLCO_01440__3D-(3%2C5/4)-trihydroxycyclohexane-1%2C2-dione__CDS__promoter,5007
cnv_depth__IBNLCO_01441__IBNLCO_01441__gene,3430
cnv_depth__IBNLCO_01441__gnl|Bakta|IBNLCO_01441__CDS__promoter,7004
cnv_depth__IBNLCO_01442__IBNLCO_01442__gene,8221
cnv_depth__IBNLCO_01442__ABC__CDS__promoter,5955
cnv_depth__IBNLCO_01443__Xylose__CDS__promoter,8983
cnv_depth__IBNLCO_01444__Autoinducer__CDS__promoter,59
cnv_depth__IBNLCO_01445__SIS__CDS__promoter,59
cnv_depth__IBNLCO_01446__Myo-inositol__CDS__promoter,6797
cnv_depth__IBNLCO_01446__IBNLCO_01446__gene,6082
cnv_depth__IBNLCO_01447__Myo-inositol__CDS__promoter,6457
cnv_depth__IBNLCO_01447__IBNLCO_01447__gene,2456
cnv_depth__IBNLCO_01448__Sulfurtransferase__CDS__promoter,3588
cnv_depth__IBNLCO_01448__tusA__gene,8360
cnv_depth__IBNLCO_01449__gnl|Bakta|IBNLCO_01449__CDS__promoter,6840
cnv_depth__IBNLCO_01449__IBNLCO_01449__gene,6515
cnv_depth__IBNLCO_01450__Two-component__CDS__promoter,9103
cnv_depth__IBNLCO_01450__IBNLCO_01450__gene,8532
cnv_depth__IBNLCO_01451__FecR__CDS__promoter,7334
cnv_depth__IBNLCO_01451__fecR__gene,9107
cnv_depth__IBNLCO_01452__histidine__CDS__promoter,6186
cnv_depth__IBNLCO_01453__hypothetical__CDS__promoter,6211
cnv_depth__IBNLCO_01453__IBNLCO_01453__gene,7076
cnv_depth__IBNLCO_01454__IBNLCO_01454__gene,4906
cnv_depth__IBNLCO_01454__UTP--glucose-1-phosphate__CDS__promoter,7037
cnv_depth__IBNLCO_01455__IBNLCO_01455__gene,8844
cnv_depth__IBNLCO_01456__DNA__CDS__promoter,296
cnv_depth__IBNLCO_01455__Valine--tRNA__CDS__promoter,296
cnv_depth__IBNLCO_01457__adenosylhomocysteine__CDS__promoter,7122
cnv_depth__IBNLCO_01457__IBNLCO_01457__gene,8999
cnv_depth__IBNLCO_01458__IBNLCO_01458__gene,4992
cnv_depth__IBNLCO_01458__MFS__CDS__promoter,9198
cnv_depth__IBNLCO_01459__Methyl-accepting__CDS__promoter,5353
cnv_depth__IBNLCO_01459__IBNLCO_01459__gene,7579
cnv_depth__IBNLCO_01460__IBNLCO_01460__gene,5827
cnv_depth__IBNLCO_01460__hypothetical__CDS__promoter,5471
cnv_depth__IBNLCO_01461__IBNLCO_01461__gene,5923
cnv_depth__IBNLCO_01461__Efflux__CDS__promoter,337
cnv_depth__IBNLCO_01462__IBNLCO_01462__gene,337
cnv_depth__IBNLCO_01463__IBNLCO_01463__gene,3708
cnv_depth__IBNLCO_01462__hypothetical__CDS__promoter,6951
cnv_depth__IBNLCO_01463__hypothetical__CDS__promoter,6976
cnv_depth__IBNLCO_01464__IBNLCO_01464__gene,6953
cnv_depth__IBNLCO_01464__RND__CDS__promoter,1550
cnv_depth__IBNLCO_01465__HTH__CDS__promoter,1550
cnv_depth__IBNLCO_01466__hypothetical__CDS__promoter,7737
cnv_depth__IBNLCO_01466__IBNLCO_01466__gene,7189
cnv_depth__IBNLCO_01467__cpdA__gene,8523
cnv_depth__IBNLCO_01467__3'%2C5'-cyclic__CDS__promoter,6783
cnv_depth__IBNLCO_01468__FAD-binding__CDS__promoter,8371
cnv_depth__IBNLCO_01469__IBNLCO_01469__gene,6690
cnv_depth__IBNLCO_01470__IBNLCO_01470__gene,3350
cnv_depth__IBNLCO_01469__hypothetical__CDS__promoter,9213
cnv_depth__IBNLCO_01471__UPF0761__CDS__promoter,8559
cnv_depth__IBNLCO_01470__NAD(P)H:quinone__CDS__promoter,5304
cnv_depth__IBNLCO_01472__IBNLCO_01472__gene,5365
cnv_depth__IBNLCO_01472__Transmembrane__CDS__promoter,276
cnv_depth__IBNLCO_01473__CBS__CDS__promoter,276
cnv_depth__IBNLCO_01473__IBNLCO_01473__gene,6580
cnv_depth__IBNLCO_01474__Lysophospholipid__CDS__promoter,7151
cnv_depth__IBNLCO_01475__Bcj11__gene__promoter,2604
cnv_depth__IBNLCO_01475__Bcj11__gene,4916
cnv_depth__IBNLCO_01476__Chorismate__CDS__promoter,9385
cnv_depth__IBNLCO_01476__IBNLCO_01476__gene,4303
cnv_depth__IBNLCO_01477__IBNLCO_01477__gene,6733
cnv_depth__IBNLCO_01478__Gluconate__CDS__promoter,763
cnv_depth__IBNLCO_01477__Electron__CDS__promoter,763
cnv_depth__IBNLCO_01478__IBNLCO_01478__gene,9372
cnv_depth__IBNLCO_01479__gnl|Bakta|IBNLCO_01479__CDS__promoter,8616
cnv_depth__IBNLCO_01479__IBNLCO_01479__gene,5066
cnv_depth__IBNLCO_01480__IBNLCO_01480__gene,6637
cnv_depth__IBNLCO_01480__hypothetical__CDS__promoter,2889
cnv_depth__IBNLCO_01481__Glycoside__CDS__promoter,5560
cnv_depth__IBNLCO_01482__IBNLCO_01482__gene,6017
cnv_depth__IBNLCO_01482__HTH__CDS__promoter,159
cnv_depth__IBNLCO_01483__3-oxoacid__CDS__promoter,159
cnv_depth__IBNLCO_01483__IBNLCO_01483__gene,6906
cnv_depth__IBNLCO_01484__3-oxoadipate__CDS__promoter,5698
cnv_depth__IBNLCO_01484__IBNLCO_01484__gene,9402
cnv_depth__IBNLCO_01485__IBNLCO_01485__gene,5991
cnv_depth__IBNLCO_01485__2%2C3-dihydro-2%2C3-dihydroxybenzoate__CDS__promoter,6979
cnv_depth__IBNLCO_01486__IBNLCO_01486__gene,7253
cnv_depth__IBNLCO_01486__hypothetical__CDS__promoter,9362
cnv_depth__IBNLCO_01487__IBNLCO_01487__gene,7256
cnv_depth__IBNLCO_01488__LysR__CDS__promoter,578
cnv_depth__IBNLCO_01487__Polyketide__CDS__promoter,578
cnv_depth__IBNLCO_01488__LysR__CDS,9100
cnv_depth__IBNLCO_01489__hypothetical__CDS__promoter,8692
cnv_depth__IBNLCO_01490__2-succinyl-6-hydroxy-2%2C__CDS__promoter,6527
cnv_depth__IBNLCO_01491__2-iminobutanoate/2-iminopropanoate__CDS__promoter,7109
cnv_depth__IBNLCO_01491__IBNLCO_01491__gene,7486
cnv_depth__IBNLCO_01492__GTP__CDS__promoter,6398
cnv_depth__IBNLCO_01493__trnV__gene__promoter,6705
cnv_depth__IBNLCO_01493__trnV__gene,5902
cnv_depth__IBNLCO_01494__Threonine--tRNA__CDS__promoter,9492
cnv_depth__IBNLCO_01494__IBNLCO_01494__gene,9430
cnv_depth__IBNLCO_01495__Translation__CDS__promoter,6528
cnv_depth__IBNLCO_01495__IBNLCO_01495__gene,7222
cnv_depth__IBNLCO_01496__Large__CDS__promoter,8997
cnv_depth__IBNLCO_01496__IBNLCO_01496__gene,809
cnv_depth__IBNLCO_01497__Large__CDS__promoter,809
cnv_depth__IBNLCO_01497__IBNLCO_01497__gene,8409
cnv_depth__IBNLCO_01498__IBNLCO_01498__gene__promoter,5208
cnv_depth__IBNLCO_01498__IBNLCO_01498__gene,8052
cnv_depth__IBNLCO_01499__IBNLCO_01499__gene__promoter,6343
cnv_depth__IBNLCO_01499__Phenylalanine--tRNA__CDS,6071
cnv_depth__IBNLCO_01500__Integration__CDS__promoter,5003
cnv_depth__IBNLCO_01500__IBNLCO_01500__gene,6502
cnv_depth__IBNLCO_01501__IBNLCO_01501__gene__promoter,9569
cnv_depth__IBNLCO_01501__Transcriptional__CDS,6657
cnv_depth__IBNLCO_01502__IBNLCO_01502__gene,8007
cnv_depth__IBNLCO_01502__gnl|Bakta|IBNLCO_01502__CDS__promoter,6687
cnv_depth__IBNLCO_01503__Acyltransferase__CDS,5301
