cnv_feature,spearman_r,p_value,p_value_adj,cohens_d,significant_fdr
cnv_depth__IBNLCO_03457__Cytochrome__CDS,0.6325555742002547,4.2145925218806347e-26,,1.402806098657012,True
cnv_depth__IBNLCO_03179__msrQ__gene,0.6322710237845101,4.5026682903510525e-26,,1.5176809312006354,True
cnv_depth__IBNLCO_03166__ugpA__gene,0.6319864733687655,4.8101041259860965e-26,,1.4739792988885256,True
cnv_depth__IBNLCO_00052__IBNLCO_00052__gene,0.6319864733687655,4.8101041259860965e-26,,1.5158952545890374,True
cnv_depth__IBNLCO_01583__IBNLCO_01583__gene,-0.6318441981608932,4.971478485034443e-26,,-1.3609308646844431,True
cnv_depth__IBNLCO_03322__fliC__gene,0.6318441981608932,4.971478485034443e-26,,1.3846858068477412,True
cnv_depth__IBNLCO_00043__Type__CDS,0.6307059964979147,6.469441059219358e-26,,1.352413850952826,True
cnv_depth__IBNLCO_03440__yceI__gene,0.6299946204585533,7.622796724355701e-26,,1.509227095252731,True
cnv_depth__IBNLCO_03419__Lipopolysaccharide__CDS__promoter,0.6297100700428087,8.13882521049589e-26,,1.5123329936135406,True
cnv_depth__IBNLCO_03374__IBNLCO_03374__gene,0.6292832444191918,8.977958477065751e-26,,1.5000367573463342,True
cnv_depth__IBNLCO_00042__IBNLCO_00042__gene,0.6291409692113195,9.276158977122011e-26,,1.2830114676346092,True
cnv_depth__IBNLCO_01545__IBNLCO_01545__gene__promoter,-0.6287141435877026,1.0230478109108276e-25,,-1.4933703654584727,True
cnv_depth__IBNLCO_03394__IBNLCO_03394__gene,0.6282873179640857,1.1281263736064457e-25,,1.4249051630504206,True
cnv_depth__IBNLCO_03304__chemotaxis-specific__CDS__promoter,0.6277182171325965,1.2849055680825343e-25,,1.4534059563269148,True
cnv_depth__IBNLCO_02800__Phosphoribosylformylglycinamidine__CDS__promoter,0.6277182171325965,1.2849055680825343e-25,,1.1498721632630768,True
cnv_depth__IBNLCO_02977__Glycine__CDS,0.6268645658853627,1.5610717358887412e-25,,1.44613559178602,True
cnv_depth__IBNLCO_03296__flhF__gene,0.6265800154696181,1.6655153302596926e-25,,1.3041427790620117,True
cnv_depth__IBNLCO_03179__Protein-methionine-sulfoxide__CDS__promoter,0.6265800154696181,1.6655153302596926e-25,,1.4840463843465699,True
cnv_depth__IBNLCO_02914__IBNLCO_02914__gene__promoter,0.6257263642223841,2.021865268020275e-25,,1.4454085820505893,True
cnv_depth__IBNLCO_00073__IBNLCO_00073__gene,0.6254418138066397,2.1565637195495508e-25,,0.6610405545468209,True
