Model,Accuracy,Accuracy (95% CI),AUC,AUC (95% CI)
Logistic Regression,0.9366 ± 0.0767,"[0.8891, 0.9841]",0.9713 ± 0.0607,"[0.9336, 1.0089]"
XGB,0.9364 ± 0.0818,"[0.8857, 0.9871]",0.9748 ± 0.0528,"[0.9420, 1.0075]"
KNN,0.9000 ± 0.0727,"[0.8549, 0.9451]",0.9787 ± 0.0412,"[0.9532, 1.0042]"
