feature,coefficient,abs_coefficient
cnv_depth__IBNLCO_02233__IBNLCO_02233__gene__promoter,-0.025646219557629836,0.025646219557629836
cnv_depth__IBNLCO_05066__hipB__gene,0.025636308050365157,0.025636308050365157
cnv_depth__IBNLCO_02883__Holliday__CDS__promoter,-0.025594889412823358,0.025594889412823358
cnv_depth__IBNLCO_02736__IBNLCO_02736__gene,-0.025592972970240192,0.025592972970240192
cnv_depth__IBNLCO_04352__DUF3156__CDS,0.025534134011574835,0.025534134011574835
cnv_depth__IBNLCO_04148__hypothetical__CDS__promoter,0.0253518284265423,0.0253518284265423
cnv_depth__IBNLCO_04857__IBNLCO_04857__gene__promoter,0.025338459217804216,0.025338459217804216
cnv_depth__IBNLCO_00491__IBNLCO_00491__gene,0.025300119735746595,0.025300119735746595
cnv_depth__IBNLCO_04517__IBNLCO_04517__gene__promoter,0.02493492293090703,0.02493492293090703
cnv_depth__IBNLCO_04184__yraA__gene__promoter,0.024871442154285828,0.024871442154285828
cnv_depth__IBNLCO_04972__N-acetylmuramoyl-L-alanine__CDS__promoter,-0.02474860421358297,0.02474860421358297
cnv_depth__IBNLCO_05717__mipA__gene__promoter,0.02474410436478686,0.02474410436478686
cnv_depth__IBNLCO_00883__Integral__CDS__promoter,0.02473799302576018,0.02473799302576018
cnv_depth__IBNLCO_03842__IBNLCO_03842__gene__promoter,0.024717080875741093,0.024717080875741093
cnv_depth__IBNLCO_05256__IBNLCO_05256__gene__promoter,-0.024678760097336782,0.024678760097336782
cnv_depth__IBNLCO_04765__hypothetical__CDS__promoter,0.024529114434584973,0.024529114434584973
cnv_depth__IBNLCO_00312__IBNLCO_00312__gene__promoter,0.024358670972093505,0.024358670972093505
cnv_depth__IBNLCO_03791__N-acetylneuraminate__CDS__promoter,-0.02434094842919687,0.02434094842919687
cnv_depth__IBNLCO_01079__tRNA__CDS__promoter,0.02432171987683178,0.02432171987683178
cnv_depth__IBNLCO_04983__Type__CDS__promoter,-0.024084039052233747,0.024084039052233747
cnv_depth__IBNLCO_05592__IBNLCO_05592__gene,0.02405028990840637,0.02405028990840637
cnv_depth__IBNLCO_01963__IBNLCO_01963__gene__promoter,0.023969739535603336,0.023969739535603336
cnv_depth__IBNLCO_03666__IBNLCO_03666__gene__promoter,0.023967286429515695,0.023967286429515695
cnv_depth__IBNLCO_03751__nodT__gene__promoter,0.023913294430203045,0.023913294430203045
cnv_depth__IBNLCO_01112__IBNLCO_01112__gene__promoter,0.023807952689517894,0.023807952689517894
cnv_depth__IBNLCO_04463__mntH__gene__promoter,0.023783474217191795,0.023783474217191795
cnv_depth__IBNLCO_04748__gnl|Bakta|IBNLCO_04748__CDS__promoter,-0.02370318855388129,0.02370318855388129
cnv_depth__IBNLCO_05682__SAF__CDS__promoter,0.023699630281724726,0.023699630281724726
cnv_depth__IBNLCO_05088__phoB__gene__promoter,0.023641480391996855,0.023641480391996855
cnv_depth__IBNLCO_03792__4-hydroxyproline__CDS__promoter,-0.023516839258246276,0.023516839258246276
cnv_depth__IBNLCO_03072__Glutamyl-tRNA__CDS__promoter,0.023357300641599518,0.023357300641599518
cnv_depth__IBNLCO_05826__IBNLCO_05826__gene__promoter,0.023304097766573408,0.023304097766573408
cnv_depth__IBNLCO_02590__Glucose-6-phosphate__CDS,-0.023140337339707964,0.023140337339707964
cnv_depth__IBNLCO_02668__Bis(5'-nucleosyl)-tetraphosphatase%2C__CDS,-0.023122605935875395,0.023122605935875395
cnv_depth__IBNLCO_01000__Solute-binding__CDS,-0.023055956080434876,0.023055956080434876
cnv_depth__IBNLCO_00673__3-phosphoshikimate__CDS__promoter,-0.023048155530619282,0.023048155530619282
cnv_depth__IBNLCO_04962__hypothetical__CDS,0.023011911934977074,0.023011911934977074
cnv_depth__IBNLCO_02801__dnaA__gene__promoter,0.02300732259628481,0.02300732259628481
cnv_depth__IBNLCO_04219__IBNLCO_04219__gene__promoter,-0.022919125049406706,0.022919125049406706
cnv_depth__IBNLCO_05736__IBNLCO_05736__gene__promoter,0.022794769013960374,0.022794769013960374
cnv_depth__IBNLCO_02650__IBNLCO_02650__gene__promoter,-0.02278670523892648,0.02278670523892648
cnv_depth__IBNLCO_04703__IBNLCO_04703__gene__promoter,-0.022758143397723713,0.022758143397723713
cnv_depth__IBNLCO_03970__Fe2OG__CDS__promoter,-0.02274453560035661,0.02274453560035661
cnv_depth__IBNLCO_05782__IBNLCO_05782__gene__promoter,0.022609539753436107,0.022609539753436107
cnv_depth__IBNLCO_00394__IBNLCO_00394__gene__promoter,0.022592292727087616,0.022592292727087616
cnv_depth__IBNLCO_02692__IBNLCO_02692__gene,-0.022526553827682885,0.022526553827682885
cnv_depth__IBNLCO_05363__Glycine__CDS,-0.022490327697620292,0.022490327697620292
cnv_depth__IBNLCO_04081__IBNLCO_04081__gene__promoter,0.022447567545528534,0.022447567545528534
cnv_depth__IBNLCO_00828__Flavin__CDS__promoter,0.02240586196269533,0.02240586196269533
cnv_depth__IBNLCO_05758__IBNLCO_05758__gene__promoter,-0.022396832547229108,0.022396832547229108
cnv_depth__IBNLCO_02632__Urea__CDS__promoter,0.022381786451953958,0.022381786451953958
cnv_depth__IBNLCO_03730__IBNLCO_03730__gene__promoter,-0.02232681188568044,0.02232681188568044
cnv_depth__IBNLCO_00786__IBNLCO_00786__gene,-0.022290689500964262,0.022290689500964262
cnv_depth__IBNLCO_02150__ACB__CDS,0.022274215779356076,0.022274215779356076
cnv_depth__IBNLCO_02171__yejB__gene__promoter,0.022202880429763077,0.022202880429763077
cnv_depth__IBNLCO_00328__IBNLCO_00328__gene,-0.022132985114441048,0.022132985114441048
cnv_depth__IBNLCO_02914__IBNLCO_02914__gene__promoter,0.022127951958578633,0.022127951958578633
cnv_depth__IBNLCO_04107__IBNLCO_04107__gene__promoter,0.021977760836570878,0.021977760836570878
cnv_depth__IBNLCO_00681__deoR__gene__promoter,-0.021951478056704044,0.021951478056704044
cnv_depth__IBNLCO_02571__hypothetical__CDS,-0.021944395835379327,0.021944395835379327
cnv_depth__IBNLCO_05128__High-copy__CDS__promoter,-0.02193588152929042,0.02193588152929042
cnv_depth__IBNLCO_00320__IBNLCO_00320__gene,-0.021868636519926977,0.021868636519926977
cnv_depth__IBNLCO_04222__IBNLCO_04222__gene,-0.021806925376306633,0.021806925376306633
cnv_depth__IBNLCO_00945__TonB-dependent__CDS__promoter,-0.02179623394288557,0.02179623394288557
cnv_depth__IBNLCO_02396__IBNLCO_02396__gene__promoter,-0.021785808517855828,0.021785808517855828
cnv_depth__IBNLCO_04237__gerE__gene__promoter,-0.021746938464360068,0.021746938464360068
