,feature_name,importance
134,cnv_depth__IBNLCO_00074__IBNLCO_00074__gene,0.0035072423
2297,cnv_depth__IBNLCO_01917__surE__gene,0.0033980205
7156,cnv_depth__IBNLCO_05832__IBNLCO_05832__gene__promoter,0.0032086205
5892,cnv_depth__IBNLCO_04734__IBNLCO_04734__gene__promoter,0.003148775
2846,cnv_depth__IBNLCO_02317__Gamma-glutamylputrescine__CDS__promoter,0.003055292
1763,cnv_depth__IBNLCO_01449__gnl|Bakta|IBNLCO_01449__CDS__promoter,0.003037914
5681,cnv_depth__IBNLCO_04596__IBNLCO_04596__gene,0.003022392
6382,cnv_depth__IBNLCO_05127__IBNLCO_05127__gene,0.003000316
3014,cnv_depth__IBNLCO_02504__Small__CDS,0.0029247887
2494,cnv_depth__IBNLCO_02052__IBNLCO_02052__gene__promoter,0.002772704
7010,cnv_depth__IBNLCO_05727__PRC-barrel__CDS__promoter,0.0026804558
841,cnv_depth__IBNLCO_00607__IBNLCO_00607__gene__promoter,0.0026788511
60,cnv_depth__IBNLCO_00032__flagellar__CDS,0.0026201943
3882,cnv_depth__IBNLCO_03178__IBNLCO_03178__gene__promoter,0.0025769034
3087,cnv_depth__IBNLCO_02571__hypothetical__CDS__promoter,0.0024836487
204,cnv_depth__IBNLCO_00114__Peptide__CDS__promoter,0.002441209
1934,cnv_depth__IBNLCO_01569__N-acetylmuramoyl-L-alanine__CDS,0.0024209635
5908,cnv_depth__IBNLCO_04743__IBNLCO_04743__gene__promoter,0.0023834237
768,cnv_depth__IBNLCO_00543__Potassium__CDS__promoter,0.0022230821
2082,cnv_depth__IBNLCO_01698__hypothetical__CDS,0.0021927208
2746,cnv_depth__IBNLCO_02232__Polymerase/histidinol__CDS,0.0020896506
3821,cnv_depth__IBNLCO_03140__ATP__CDS,0.002087283
6345,cnv_depth__IBNLCO_05094__HTH__CDS,0.0020170694
1188,cnv_depth__unknown__unknown__regulatory.1,0.0020151697
131,cnv_depth__IBNLCO_00072__IBNLCO_00072__gene,0.0019906417
7150,cnv_depth__IBNLCO_05828__putative__CDS__promoter,0.0019892633
233,cnv_depth__IBNLCO_00176__Peptidoglycan__CDS__promoter,0.001938131
2390,cnv_depth__IBNLCO_01982__ycfH__gene,0.0019065352
6810,cnv_depth__IBNLCO_05592__IBNLCO_05592__gene,0.0018606583
4595,cnv_depth__IBNLCO_03642__5-oxoprolinase__CDS__promoter,0.0018452799
448,cnv_depth__IBNLCO_00307__gnl|Bakta|IBNLCO_00307__CDS__promoter,0.0018115933
5582,cnv_depth__IBNLCO_04534__Dibenzothiophene__CDS__promoter,0.0017731751
5425,cnv_depth__IBNLCO_04391__IBNLCO_04391__gene,0.0015974239
5098,cnv_depth__IBNLCO_04107__IBNLCO_04107__gene__promoter,0.0015917617
6428,cnv_depth__IBNLCO_05168__IBNLCO_05168__gene__promoter,0.0015747156
2216,cnv_depth__IBNLCO_01868__IBNLCO_01868__gene__promoter,0.0015483365
153,cnv_depth__IBNLCO_00083__DUF4382__CDS,0.0015444277
1600,cnv_depth__IBNLCO_01327__IBNLCO_01327__gene__promoter,0.0015335451
5338,cnv_depth__IBNLCO_04306__hypothetical__CDS__promoter,0.0015156071
6398,cnv_depth__IBNLCO_05140__Linalool__CDS,0.0015058506
3903,cnv_depth__IBNLCO_03189__IBNLCO_03189__gene__promoter,0.0014974539
2532,cnv_depth__IBNLCO_02077__IBNLCO_02077__gene,0.0014768478
3172,cnv_depth__IBNLCO_02666__Glucose-1-phosphate__CDS__promoter,0.0014713401
3332,cnv_depth__IBNLCO_02800__Phosphoribosylformylglycinamidine__CDS__promoter,0.0014695276
154,cnv_depth__IBNLCO_00084__Lipoprotein-attachment__CDS__promoter,0.0014634825
6226,cnv_depth__IBNLCO_04998__two-component__CDS,0.0014530555
4764,cnv_depth__IBNLCO_03793__Hydrogen__CDS__promoter,0.0014350819
5242,cnv_depth__IBNLCO_04226__PucR__CDS,0.0013693861
2198,cnv_depth__IBNLCO_01856__IBNLCO_01856__gene,0.0013627787
2593,cnv_depth__IBNLCO_02117__Zinc__CDS__promoter,0.0012592528
6977,cnv_depth__IBNLCO_05702__IBNLCO_05702__gene,0.0012218736
4052,cnv_depth__IBNLCO_03274__IBNLCO_03274__gene__promoter,0.0011607794
6590,cnv_depth__IBNLCO_05327__Polysaccharide__CDS__promoter,0.0011601761
6948,cnv_depth__IBNLCO_05683__IBNLCO_05683__gene,0.001149455
6123,cnv_depth__IBNLCO_04919__gnl|Bakta|IBNLCO_04919__CDS__promoter,0.0011309679
2496,cnv_depth__IBNLCO_02054__Phenylserine__CDS__promoter,0.0010224095
4516,cnv_depth__IBNLCO_03592__lysR__gene,0.0010187667
3020,cnv_depth__IBNLCO_02509__DUF2059__CDS__promoter,0.0010136706
1952,cnv_depth__IBNLCO_01580__UPF0303__CDS__promoter,0.0010117437
3864,cnv_depth__IBNLCO_03165__sn-glycerol-3-phosphate__CDS__promoter,0.0010039471
896,cnv_depth__IBNLCO_00655__IBNLCO_00655__gene__promoter,0.0009821145
1889,cnv_depth__IBNLCO_01543__cpaE__gene__promoter,0.0009652244
854,cnv_depth__IBNLCO_00618__IBNLCO_00618__gene,0.00094931194
406,cnv_depth__IBNLCO_00279__IBNLCO_00279__gene,0.0009038695
1229,cnv_depth__IBNLCO_00981__HTH__CDS,0.0008854189
5530,cnv_depth__IBNLCO_04496__pksF__gene,0.0008419493
3204,cnv_depth__IBNLCO_02692__IBNLCO_02692__gene,0.00080400537
209,cnv_depth__IBNLCO_00117__IBNLCO_00117__gene__promoter,0.0007699795
1246,cnv_depth__IBNLCO_00992__hypothetical__CDS,0.0007118827
6621,cnv_depth__IBNLCO_05367__Haloacid__CDS__promoter,0.0006998935
944,cnv_depth__IBNLCO_00700__lysR__gene,0.0006919612
6361,cnv_depth__IBNLCO_05109__hrpB4__gene__promoter,0.00066421763
5759,cnv_depth__IBNLCO_04650__Fatty__CDS__promoter,0.00065105327
118,cnv_depth__IBNLCO_00065__gnl|Bakta|IBNLCO_00065__CDS__promoter,0.00063087605
7129,cnv_depth__IBNLCO_05817__mlaC__gene,0.0005984541
2080,cnv_depth__IBNLCO_01698__hypothetical__CDS__promoter,0.00050530024
1580,cnv_depth__IBNLCO_01309__IBNLCO_01309__gene__promoter,0.0003932759
2447,cnv_depth__IBNLCO_02014__IBNLCO_02014__gene__promoter,0.00037502527
4,cnv_depth__IBNLCO_00002__Cation/H+__CDS__promoter,0.00037291733
4480,cnv_depth__IBNLCO_03566__IBNLCO_03566__gene,0.00034884937
5359,cnv_depth__IBNLCO_04317__UspA__CDS__promoter,0.00034772174
10,cnv_depth__IBNLCO_00005__yciC__gene__promoter,0.00032856525
351,cnv_depth__IBNLCO_00244__IBNLCO_00244__gene__promoter,0.00028834687
2937,cnv_depth__IBNLCO_02421__IBNLCO_02421__gene,0.00027161962
2821,cnv_depth__IBNLCO_02295__IBNLCO_02295__gene,0.0002116395
1764,cnv_depth__IBNLCO_01449__IBNLCO_01449__gene,0.00019967231
1077,cnv_depth__IBNLCO_00828__Flavin__CDS__promoter,0.00019654282
1391,cnv_depth__IBNLCO_01136__Glycosyltransferase__CDS,0.00016482598
3819,cnv_depth__IBNLCO_03139__Histidinol__CDS,0.00012562105
2545,cnv_depth__IBNLCO_02085__IBNLCO_02085__gene,0.000116212206
40,cnv_depth__IBNLCO_00022__IBNLCO_00022__gene,4.8119935e-05
5189,cnv_depth__IBNLCO_04185__Xenobiotic__CDS,4.312276e-05
4294,cnv_depth__IBNLCO_03417__Leucine-binding__CDS,3.559948e-05
194,cnv_depth__IBNLCO_00109__D-2-hydroxyacid__CDS,2.949821e-05
3721,cnv_depth__IBNLCO_03080__Heat__CDS,1.9891426e-05
1199,cnv_depth__IBNLCO_00951__CHASE2__CDS__promoter,6.587344e-06
4818,cnv_depth__IBNLCO_03834__ncS011__gene__promoter,0.0
4817,cnv_depth__IBNLCO_03833__lysR__gene,0.0
4814,cnv_depth__IBNLCO_03831__IBNLCO_03831__gene__promoter,0.0
4816,cnv_depth__IBNLCO_03832__gnl|Bakta|IBNLCO_03832__CDS__promoter,0.0
4786,cnv_depth__IBNLCO_03810__HD__CDS,0.0
4815,cnv_depth__IBNLCO_03833__LysR__CDS__promoter,0.0
4787,cnv_depth__IBNLCO_03815__rrf__gene,0.0
4772,cnv_depth__IBNLCO_03800__3-dehydroquinate__CDS__promoter,0.0
4785,cnv_depth__IBNLCO_03810__HD__CDS__promoter,0.0
4784,cnv_depth__IBNLCO_03809__Phosphonoacetaldehyde__CDS__promoter,0.0
4788,cnv_depth__IBNLCO_03816__Transcriptional__CDS__promoter,0.0
4789,cnv_depth__IBNLCO_03816__IBNLCO_03816__gene,0.0
4773,cnv_depth__IBNLCO_03800__IBNLCO_03800__gene,0.0
4819,cnv_depth__IBNLCO_03834__ncS011__gene,0.0
4803,cnv_depth__IBNLCO_03824__Pathogen-specific__CDS__promoter,0.0
4793,cnv_depth__IBNLCO_03818__IBNLCO_03818__gene,0.0
4794,cnv_depth__IBNLCO_03819__IBNLCO_03819__gene,0.0
4795,cnv_depth__IBNLCO_03819__IBNLCO_03819__gene__promoter,0.0
