feature,coefficient,abs_coefficient
cnv_depth__IBNLCO_01929__IBNLCO_01929__gene__promoter,-0.013052915599983719,0.013052915599983719
cnv_depth__IBNLCO_04115__hypothetical__CDS,0.013023651093803329,0.013023651093803329
cnv_depth__IBNLCO_03842__IBNLCO_03842__gene__promoter,0.012909507257756544,0.012909507257756544
cnv_depth__IBNLCO_04517__IBNLCO_04517__gene__promoter,0.012897878196555261,0.012897878196555261
cnv_depth__IBNLCO_00312__IBNLCO_00312__gene__promoter,0.012794209159141085,0.012794209159141085
cnv_depth__IBNLCO_04184__yraA__gene__promoter,0.012776765170741953,0.012776765170741953
cnv_depth__IBNLCO_05592__IBNLCO_05592__gene,0.012770453241119589,0.012770453241119589
cnv_depth__IBNLCO_01019__hypothetical__CDS,-0.012748845816551885,0.012748845816551885
cnv_depth__IBNLCO_05753__IBNLCO_05753__gene,-0.012700579024609937,0.012700579024609937
cnv_depth__IBNLCO_04765__hypothetical__CDS__promoter,0.012636155257297117,0.012636155257297117
cnv_depth__IBNLCO_05717__mipA__gene__promoter,0.012630201086680806,0.012630201086680806
cnv_depth__IBNLCO_03071__IBNLCO_03071__gene,0.012535305094978666,0.012535305094978666
cnv_depth__IBNLCO_01963__IBNLCO_01963__gene__promoter,0.012523754817753282,0.012523754817753282
cnv_depth__IBNLCO_05223__IBNLCO_05223__gene__promoter,-0.0124336719711852,0.0124336719711852
cnv_depth__IBNLCO_04748__gnl|Bakta|IBNLCO_04748__CDS__promoter,-0.012395814543420652,0.012395814543420652
cnv_depth__IBNLCO_01112__IBNLCO_01112__gene__promoter,0.012341593971103343,0.012341593971103343
cnv_depth__IBNLCO_04463__mntH__gene__promoter,0.012303304222420522,0.012303304222420522
cnv_depth__IBNLCO_04222__IBNLCO_04222__gene__promoter,-0.0122854802968038,0.0122854802968038
cnv_depth__IBNLCO_04404__UspA__CDS__promoter,0.012265146030292046,0.012265146030292046
cnv_depth__IBNLCO_05826__IBNLCO_05826__gene__promoter,0.012263645204619977,0.012263645204619977
cnv_depth__IBNLCO_05736__IBNLCO_05736__gene__promoter,0.012186940591112926,0.012186940591112926
cnv_depth__IBNLCO_02801__dnaA__gene__promoter,0.012137641877947272,0.012137641877947272
cnv_depth__IBNLCO_02736__IBNLCO_02736__gene,-0.012132200424674453,0.012132200424674453
cnv_depth__IBNLCO_00394__IBNLCO_00394__gene__promoter,0.012024393590215192,0.012024393590215192
