feature,coefficient,abs_coefficient
cnv_depth__IBNLCO_02296__IBNLCO_02296__gene__promoter,0.15475082024868894,0.15475082024868894
cnv_depth__unknown__unknown__regulatory.1,-0.15222514687709773,0.15222514687709773
cnv_depth__IBNLCO_02269__IBNLCO_02269__gene,0.14993749612837726,0.14993749612837726
cnv_depth__IBNLCO_04934__JmjC__CDS,-0.14909876036313158,0.14909876036313158
cnv_depth__IBNLCO_04145__IBNLCO_04145__gene,-0.14904717639297843,0.14904717639297843
cnv_depth__IBNLCO_04073__IBNLCO_04073__gene__promoter,0.14564731051732716,0.14564731051732716
cnv_depth__IBNLCO_05607__lysR__gene,0.14360936151093862,0.14360936151093862
cnv_depth__IBNLCO_00892__IBNLCO_00892__gene__promoter,0.1433252436564601,0.1433252436564601
cnv_depth__IBNLCO_05272__IBNLCO_05272__gene__promoter,-0.14257550425998072,0.14257550425998072
cnv_depth__IBNLCO_02833__IBNLCO_02833__gene__promoter,-0.1425732875232705,0.1425732875232705
cnv_depth__IBNLCO_01297__proP__gene__promoter,-0.1418641265518223,0.1418641265518223
cnv_depth__IBNLCO_02632__Urea__CDS__promoter,0.14167704413673926,0.14167704413673926
cnv_depth__IBNLCO_05128__High-copy__CDS__promoter,-0.14051879688515181,0.14051879688515181
cnv_depth__IBNLCO_01913__putative__CDS,0.14051228859952725,0.14051228859952725
cnv_depth__IBNLCO_03023__ftsL__gene,0.14049836728500412,0.14049836728500412
cnv_depth__IBNLCO_04915__IBNLCO_04915__gene__promoter,-0.14047701341340119,0.14047701341340119
cnv_depth__IBNLCO_00883__Integral__CDS__promoter,0.14001872288505754,0.14001872288505754
cnv_depth__IBNLCO_04534__Dibenzothiophene__CDS__promoter,0.13916351876589933,0.13916351876589933
cnv_depth__IBNLCO_03941__3-oxoacyl-ACP__CDS__promoter,0.1390655069259283,0.1390655069259283
cnv_depth__IBNLCO_02696__IBNLCO_02696__gene__promoter,-0.13571754823630394,0.13571754823630394
cnv_depth__IBNLCO_00332__eamA__gene,-0.13427971147601814,0.13427971147601814
cnv_depth__IBNLCO_02524__IBNLCO_02524__gene__promoter,-0.13379535118699018,0.13379535118699018
cnv_depth__IBNLCO_05664__gnl|Bakta|IBNLCO_05664__CDS__promoter,-0.13370638702140078,0.13370638702140078
cnv_depth__IBNLCO_04464__YiaAB__CDS,-0.13138710964761754,0.13138710964761754
cnv_depth__IBNLCO_05031__IBNLCO_05031__gene__promoter,0.13091032859308782,0.13091032859308782
cnv_depth__IBNLCO_01919__Recombination__CDS,-0.13083782117555892,0.13083782117555892
cnv_depth__IBNLCO_04305__DUF4148__CDS__promoter,0.12925900778500493,0.12925900778500493
cnv_depth__IBNLCO_02570__gnl|Bakta|IBNLCO_02570__CDS__promoter,-0.128849876826853,0.128849876826853
cnv_depth__IBNLCO_05198__LLM__CDS,-0.12883577278152003,0.12883577278152003
cnv_depth__IBNLCO_05683__IBNLCO_05683__gene,0.12525598629567214,0.12525598629567214
cnv_depth__IBNLCO_05692__AsnC__CDS,0.12510148750696604,0.12510148750696604
cnv_depth__IBNLCO_00838__tRNA__CDS__promoter,-0.12245674997565342,0.12245674997565342
cnv_depth__IBNLCO_01267__IBNLCO_01267__gene__promoter,0.12180752576431186,0.12180752576431186
cnv_depth__IBNLCO_05229__Spermidine/putrescine-binding__CDS__promoter,0.12110728778082777,0.12110728778082777
cnv_depth__IBNLCO_02243__DNA__CDS__promoter,-0.11947772105324664,0.11947772105324664
cnv_depth__IBNLCO_00235__response__CDS__promoter,0.11910866549058108,0.11910866549058108
cnv_depth__IBNLCO_02971__IBNLCO_02971__gene__promoter,0.11858035956514737,0.11858035956514737
cnv_depth__IBNLCO_03027__IBNLCO_03027__gene__promoter,0.1185464154618939,0.1185464154618939
cnv_depth__IBNLCO_04473__hypothetical__CDS__promoter,0.11805368509791452,0.11805368509791452
cnv_depth__IBNLCO_05316__DUF2384__CDS__promoter,0.11697571117296884,0.11697571117296884
cnv_depth__IBNLCO_01551__hypothetical__CDS__promoter,-0.11630355857066133,0.11630355857066133
cnv_depth__IBNLCO_05435__TetR-family__CDS__promoter,-0.11619673471677541,0.11619673471677541
cnv_depth__IBNLCO_00982__IBNLCO_00982__gene__promoter,-0.11474716481970454,0.11474716481970454
cnv_depth__IBNLCO_03257__wrbA__gene,-0.11299071897540468,0.11299071897540468
cnv_depth__IBNLCO_00023__lysR__gene__promoter,0.11283055394617779,0.11283055394617779
cnv_depth__IBNLCO_02847__gnl|Bakta|IBNLCO_02847__CDS,-0.11276895110413215,0.11276895110413215
cnv_depth__IBNLCO_05210__IBNLCO_05210__gene__promoter,0.11109238681596557,0.11109238681596557
cnv_depth__IBNLCO_01372__DNA-binding__CDS__promoter,-0.11045036008151672,0.11045036008151672
cnv_depth__IBNLCO_00404__ABC__CDS__promoter,0.11018324733153986,0.11018324733153986
cnv_depth__IBNLCO_02604__3%2C4-dihydroxy-2-butanone__CDS,-0.10957226168797406,0.10957226168797406
cnv_depth__IBNLCO_03869__IBNLCO_03869__gene__promoter,0.10680693099682842,0.10680693099682842
cnv_depth__IBNLCO_05067__Toxin__CDS__promoter,0.10672059577102097,0.10672059577102097
cnv_depth__IBNLCO_00540__lptC__gene__promoter,0.10666669854596803,0.10666669854596803
cnv_depth__IBNLCO_00972__dCTP__CDS__promoter,-0.10643490225995536,0.10643490225995536
